Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Stl/100,Stl%,Tov/100
Milwaukee Bucks,Giannis Antetokounmpo,Vet,7.3,-0.2,4.5,2.8,4.5,3.4,1.1,28.2,62.40%,3.8,27.20%,19.60%,13.9,67.60%,56.50%,33.30%,17.5,7.7,28.20%,1.8,2.00%,1.5,1.50%,4.9
Philadelphia 76ers,Joel Embiid,Vet,6.3,0.5,3.9,2.4,3.8,3.4,0.4,27.8,54.50%,5.1,31.80%,20.90%,14.9,81.90%,61.30%,33.50%,17.4,4.9,16.30%,2.2,2.20%,1.4,1.40%,4.3
Boston Celtics,Jayson Tatum,Vet,5.5,2.6,4.8,0.6,4.6,4.6,0,27.2,52.40%,10.9,35.60%,43.80%,9.8,85.00%,35.60%,29.20%,9.9,6.2,21.70%,0.9,1.00%,1.5,1.50%,4.2
Los Angeles Lakers,LeBron James,Vet,5.5,-0.8,5.1,0.4,6.9,6.8,0.1,29.6,59.30%,10.5,32.90%,36.90%,8.2,70.50%,33.50%,33.10%,11.3,8.2,27.00%,1.2,1.40%,1.6,1.50%,5
Denver Nuggets,Nikola Jokic,Vet,5.4,0.8,3.7,1.8,4.1,3.3,0.8,27,60.10%,4.5,35.60%,19.10%,10.5,82.40%,39.20%,33.90%,20.1,9.7,35.70%,1.4,1.50%,2,1.90%,5.5
Los Angeles Clippers,Kawhi Leonard,Vet,5,-1.6,3.5,1.5,5.7,3.9,1.8,23.8,53.20%,7.5,35.60%,36.20%,7.5,86.30%,34.60%,27.40%,9.8,5.6,19.70%,0.8,0.90%,2.4,2.30%,2.7
Brooklyn Nets,Kevin Durant,Vet,5,-0.7,5.1,-0.1,3.8,4,-0.2,24.8,53.60%,7.1,38.30%,29.60%,9.9,89.70%,38.10%,29.20%,9.2,8,26.10%,1.3,1.40%,1.2,1.20%,4.5
Phoenix Suns,Chris Paul,Vet,4.9,0.9,3.2,1.7,2.9,1.1,1.8,18.3,54.50%,5.5,34.10%,28.20%,5.4,87.50%,29.30%,20.50%,6.5,13.6,42.00%,0.4,0.50%,2.5,2.40%,3.4
Golden State Warriors,Stephen Curry,Vet,4.7,0.4,4.5,0.1,3.2,4.3,-1.1,25.6,50.70%,15.8,39.10%,57.30%,7.3,89.70%,27.50%,28.60%,6.7,8.1,24.80%,0.5,0.50%,1.7,1.70%,4.3
Los Angeles Clippers,Paul George,Vet,4.4,-0.7,2.5,1.9,3.5,2.6,0.9,26.3,47.60%,12,35.80%,50.10%,7.8,83.70%,31.10%,31.60%,9.8,7.6,25.80%,0.7,0.70%,2.2,2.10%,5.3
Minnesota Timberwolves,Karl-Anthony Towns,Vet,4.2,0.9,3.7,0.5,2,1.9,0.1,21.2,57.10%,6.3,37.90%,30.20%,9.5,82.40%,44.60%,26.30%,14.6,4.5,13.70%,1.7,1.80%,1.3,1.30%,4.1
Portland Trail Blazers,Damian Lillard,Vet,4.2,0,5.3,-1.1,4.6,5.2,-0.5,24.1,48.60%,13.3,34.30%,55.40%,9.4,89.00%,37.30%,27.90%,5.7,8.9,30.60%,0.5,0.60%,1.1,1.10%,3.6
Brooklyn Nets,Kyrie Irving,Vet,3.9,0,4.4,-0.5,3.2,3,0.2,23,51.50%,9.6,37.90%,40.50%,5.6,90.50%,24.40%,25.30%,5.9,7.1,21.20%,0.8,0.90%,1.9,1.80%,3
Phoenix Suns,Devin Booker,Vet,3.9,1.2,4.9,-1,3.6,4.7,-1,28.3,52.20%,9.8,34.80%,36.10%,8.3,87.40%,32.10%,29.40%,6.8,6.7,20.50%,0.5,0.60%,1.3,1.30%,3.5
Miami Heat,Jimmy Butler,Vet,3.9,0.4,2.6,1.2,2.4,2.3,0.1,22.6,51.10%,4.2,28.70%,22.00%,11.2,85.80%,52.60%,25.50%,9.3,7.1,22.00%,0.7,0.80%,2.4,2.50%,2.8
Utah Jazz,Rudy Gobert,Vet,3.8,-1,0,3.8,2.1,0.6,1.5,10.7,67.10%,0.6,12.40%,4.20%,10.5,65.30%,85.20%,17.10%,20.6,1.6,4.60%,2.6,3.00%,0.9,0.90%,2.5
Milwaukee Bucks,Jrue Holiday,Vet,3.8,0.4,2.8,1,1.9,2,-0.1,21.1,51.80%,7.9,33.50%,39.40%,4.2,75.60%,20.80%,23.70%,6.6,8.8,27.60%,0.7,0.80%,2.2,2.20%,3.7
Dallas Mavericks,Luka Doncic,Vet,3.8,0.8,4.3,-0.5,4.1,4.6,-0.5,30.4,53.60%,13.6,33.10%,44.70%,12,73.30%,41.20%,33.60%,12.9,11.1,40.40%,0.9,1.00%,1.5,1.50%,5.5
Philadelphia 76ers,James Harden,Vet,3.8,-0.9,3.6,0.2,4.3,4,0.3,18.2,50.70%,8.2,34.60%,49.00%,10.1,86.30%,51.30%,23.10%,9.6,11.5,36.10%,0.7,0.80%,1.7,1.60%,5.1
Utah Jazz,Donovan Mitchell,Vet,3.6,0.7,4.6,-1,3.3,4.6,-1.2,29.1,50.30%,12.2,34.80%,43.90%,8.3,84.80%,29.50%,32.90%,6.3,7.9,26.40%,0.4,0.40%,1.7,1.70%,4.3
Boston Celtics,Jaylen Brown,Vet,3.5,1.6,3.4,0.1,2.2,3,-0.8,25.9,54.40%,8.2,34.30%,36.20%,7.6,75.30%,29.90%,28.50%,8.9,4.9,17.70%,0.5,0.60%,1.7,1.60%,3.9
Toronto Raptors,Pascal Siakam,Vet,2.9,1.2,2,0.8,1.6,2,-0.4,23.9,51.50%,4.2,31.40%,21.00%,8,77.60%,32.70%,26.10%,10.8,7.1,23.80%,0.9,1.00%,1.6,1.60%,3.5
Miami Heat,Bam Adebayo,Vet,2.8,0.8,1,1.8,1.9,0.4,1.5,17.7,58.80%,0.6,16.70%,4.10%,8.7,76.30%,50.90%,23.00%,15.2,5.1,15.70%,1.4,1.50%,1.9,1.90%,3.7
Phoenix Suns,Deandre Ayton,Vet,2.8,0.8,1.2,1.6,2.8,1.4,1.4,21.2,62.10%,1.1,27.40%,5.60%,4.1,77.30%,20.50%,22.80%,16.3,2.4,7.80%,1.3,1.50%,1,1.10%,2.1
Boston Celtics,Robert Williams III,Vet,2.8,0.9,0.6,2.1,2.6,0.9,1.7,10.2,63.40%,0.6,13.40%,5.00%,3.1,70.10%,30.60%,12.10%,16.3,2.7,8.10%,4.2,4.50%,1.6,1.60%,1.6
Atlanta Hawks,Trae Young,Vet,2.8,-0.2,5.1,-2.4,2.4,4.9,-2.5,25.2,50.00%,10.8,34.90%,44.00%,10.1,87.80%,39.30%,31.30%,5.5,11.9,39.80%,0.3,0.30%,1.2,1.30%,5.1
Milwaukee Bucks,Khris Middleton,Vet,2.6,0.1,2.4,0.2,1.7,2,-0.2,23.7,46.60%,10.6,34.90%,47.00%,6.5,85.70%,27.60%,26.40%,8,8.1,26.50%,0.4,0.60%,1.7,1.60%,3.6
Minnesota Timberwolves,Anthony Edwards,Sophomore,2.5,1.8,2.6,-0.1,3,3.2,-0.2,23,51.50%,11.8,35.30%,51.80%,6,79.40%,26.90%,26.10%,6.4,5,17.20%,0.9,1.00%,1.8,1.80%,3.3
New Orleans Pelicans,Brandon Ingram,Vet,2.5,0.9,2.7,-0.2,1.8,3,-1.2,25.1,51.30%,5.6,35.80%,22.70%,9.4,83.40%,38.40%,28.50%,8.3,8,25.70%,0.6,0.80%,1,0.90%,3.9
Boston Celtics,Marcus Smart,Vet,2.5,0.9,0.9,1.6,0.3,0,0.3,16.8,49.70%,9.3,32.40%,55.30%,4.6,79.50%,30.10%,19.30%,5.8,8.6,26.10%,0.4,0.50%,2.3,2.30%,3.6
Los Angeles Clippers,Robert Covington,Vet,2.4,0.5,-0.2,2.6,2,-0.3,2.3,14.5,48.90%,10,34.70%,68.60%,3,81.90%,21.90%,16.10%,10.2,2.2,6.50%,2.1,2.40%,2.5,2.40%,1.7
Golden State Warriors,Otto Porter Jr.,Vet,2.4,1.6,0.6,1.9,2.2,0.7,1.5,12.5,53.00%,6,37.60%,46.40%,2.4,77.70%,19.90%,12.90%,12.6,3.3,9.20%,0.9,1.00%,2,2.00%,1.5
Utah Jazz,Mike Conley,Vet,2.4,-1,1,1.4,0.8,0,0.8,17.9,46.30%,9.4,36.60%,50.90%,4.3,80.90%,22.50%,19.10%,5.4,9.1,28.10%,0.6,0.60%,2.1,2.00%,3.2
Toronto Raptors,Fred VanVleet,Vet,2.4,0.6,1.3,1,1.2,0.8,0.3,20.8,45.80%,13.9,35.60%,64.90%,4.3,84.50%,22.00%,21.30%,5.6,7.8,24.30%,0.8,0.90%,2.2,2.10%,2.9
Los Angeles Lakers,Anthony Davis,Vet,2.3,-1.3,0.5,1.8,2.3,1.2,1.1,22.7,53.30%,2.2,30.50%,10.90%,9,74.00%,41.50%,26.40%,13.4,4.2,13.90%,3,3.20%,1.7,1.70%,2.9
Portland Trail Blazers,Jusuf Nurkic,Vet,2.3,-0.1,0.2,2.1,0.7,-0.3,1,19.9,51.20%,2.4,28.50%,10.90%,9,64.40%,48.00%,24.40%,19.1,4.7,14.50%,1.4,1.50%,1.8,1.70%,4.6
Golden State Warriors,Draymond Green,Vet,2.3,0.1,-1.3,3.6,1.4,-1.1,2.5,9.5,54.10%,3.2,25.90%,23.90%,3.4,70.90%,31.70%,13.00%,11.6,10.3,29.10%,1.7,1.90%,2.3,2.30%,4
Los Angeles Clippers,Isaiah Hartenstein,Vet,2.3,1.7,0.4,1.8,2.5,0.6,1.9,14.1,62.40%,3.3,27.70%,17.90%,5.5,67.30%,38.50%,18.50%,14,6.4,19.80%,2.8,3.10%,1.7,1.70%,3.9
Atlanta Hawks,Bogdan Bogdanovic,Vet,2.3,1.4,2.2,0.1,1.7,1.7,0,22,49.80%,13,36.60%,57.30%,4.1,82.40%,18.60%,22.10%,6.9,4.8,15.70%,0.5,0.50%,1.9,1.80%,2
Memphis Grizzlies,Steven Adams,Vet,2.3,1,-0.4,2.6,2.7,-0.1,2.8,9.3,56.70%,0.7,15.60%,5.70%,6.2,49.10%,49.30%,14.00%,17.2,6.2,18.60%,1.7,1.70%,1.6,1.60%,2.6
Memphis Grizzlies,Ja Morant,Vet,2,2.2,3.2,-1.1,0.7,2.8,-2.1,26.4,51.80%,6,30.40%,24.20%,11.5,71.50%,42.10%,31.10%,8.5,10.2,31.00%,0.6,0.60%,1.5,1.50%,5.1
Charlotte Hornets,LaMelo Ball,Sophomore,2,1.6,1.6,0.4,2.8,1.8,1,24.8,48.90%,12.5,33.90%,50.50%,5.7,82.50%,26.20%,28.10%,8.8,10.1,32.40%,0.6,0.60%,2.2,2.20%,4.8
Milwaukee Bucks,Brook Lopez,Vet,2,-0.8,-0.6,2.6,0.9,0.3,0.5,17.8,57.50%,7,33.00%,36.80%,4.6,82.50%,23.90%,19.30%,9.6,1.2,3.70%,2.6,2.80%,1.1,1.10%,1.8
Miami Heat,Kyle Lowry,Vet,2,0.2,0.8,1.1,0.4,-0.2,0.6,13.4,48.30%,9.8,34.30%,69.00%,4.7,81.10%,31.10%,16.30%,6.6,9.7,28.30%,0.4,0.50%,1.5,1.50%,3.4
Cleveland Cavaliers,Darius Garland,Vet,1.9,3.4,3,-1,1.4,3,-1.6,26.2,49.50%,8.9,35.30%,33.50%,6.8,86.40%,27.40%,28.10%,4.5,10.4,34.60%,0.3,0.30%,1.8,1.80%,5.1
Golden State Warriors,Kevon Looney,Vet,1.9,1.4,-0.6,2.5,1.6,-0.6,2.2,9.1,59.70%,0.7,19.90%,4.70%,3.5,56.90%,37.00%,11.10%,16.3,4.4,13.00%,1.2,1.30%,1.3,1.30%,1.8
Memphis Grizzlies,Brandon Clarke,Vet,1.8,0.8,0.9,0.9,2.3,1.2,1.1,15.8,63.00%,0.7,28.80%,4.60%,5.8,68.10%,38.60%,18.10%,13.3,3,9.70%,2.3,2.60%,1.5,1.50%,1.8
Washington Wizards,Kristaps Porzingis,Vet,1.8,0.5,1.1,0.7,1.9,0.8,1.1,26.7,49.90%,8.8,34.40%,32.60%,10.5,83.30%,41.00%,31.40%,14.5,4.1,13.80%,2.6,2.80%,1.1,1.10%,3.1
San Antonio Spurs,Dejounte Murray,Vet,1.8,1.6,1.7,0.2,1.9,1.9,0,25.5,49.20%,7.3,32.50%,30.00%,6.4,79.00%,27.40%,28.10%,11,10.1,33.40%,0.5,0.50%,2.5,2.50%,3.7
Memphis Grizzlies,Desmond Bane,Sophomore,1.8,2.5,1.5,0.3,1.6,1.3,0.2,21,50.90%,11.2,38.10%,53.40%,3.8,87.30%,19.70%,21.40%,6.7,3.6,11.00%,0.8,0.80%,1.8,1.70%,2.1
Golden State Warriors,Gary Payton II,Vet,1.8,2.2,0,1.8,2.4,0.1,2.4,12.1,65.00%,4.3,31.00%,34.50%,2.3,64.90%,18.80%,13.50%,9.5,2.8,8.20%,1,1.10%,3.1,3.10%,1.7
San Antonio Spurs,Jakob Poeltl,Vet,1.8,0.3,-0.2,2,0.6,-0.9,1.5,16.4,63.90%,0.7,15.40%,4.30%,5.4,48.90%,34.00%,18.70%,15.5,3.7,11.40%,2.7,3.10%,1.1,1.10%,2.7
Philadelphia 76ers,Danny Green,Vet,1.8,-0.5,-0.3,2,1.4,1,0.4,12.1,46.70%,10.1,36.60%,83.00%,1,75.30%,9.00%,11.50%,6.3,2.3,6.60%,1.1,1.20%,2,2.00%,1.3
Atlanta Hawks,Clint Capela,Vet,1.7,-0.6,0.2,1.5,0.7,0,0.7,13.2,64.00%,0.7,14.70%,4.10%,4.5,48.00%,32.50%,15.00%,22.2,1.8,5.40%,2.1,2.50%,1.2,1.20%,1.4
New Orleans Pelicans,CJ McCollum,Vet,1.7,-0.9,2.2,-0.4,0.8,2,-1.2,26.4,50.10%,9.9,36.10%,38.90%,5.1,72.00%,20.10%,26.90%,6.2,7,21.70%,0.6,0.70%,1.3,1.30%,2.8
Cleveland Cavaliers,Jarrett Allen,Vet,1.7,1.8,0.3,1.4,1.9,0.8,1.1,14.8,62.90%,0.8,26.10%,4.50%,6.3,67.80%,47.40%,18.00%,16.1,2.3,6.70%,2,2.20%,1,1.00%,2.3
Memphis Grizzlies,Jaren Jackson Jr.,Vet,1.7,1.1,0.3,1.4,1.2,0,1.2,21.5,49.80%,9.5,33.90%,41.70%,8.3,80.40%,37.70%,23.70%,11.1,1.7,5.40%,4.5,5.00%,1.5,1.50%,2.8
Memphis Grizzlies,De'Anthony Melton,Vet,1.7,0.5,0.3,1.4,1.8,0.2,1.6,19.7,46.20%,12.7,32.80%,63.20%,3.7,74.60%,20.80%,20.80%,9.1,5,15.30%,1,1.20%,2.7,2.70%,2.9
Minnesota Timberwolves,Patrick Beverley,Vet,1.7,0.4,-0.3,2,2.6,0.1,2.5,12.9,48.90%,7.6,35.00%,58.80%,5,72.30%,34.80%,15.20%,7.3,7.4,20.20%,1.5,1.80%,1.9,1.90%,2.4
New York Knicks,Mitchell Robinson,Vet,1.7,0.4,0.1,1.5,2.7,1,1.7,9.4,66.40%,0.7,15.30%,4.50%,5.3,49.20%,52.20%,13.00%,14.3,1.4,4.00%,4.1,4.30%,1.7,1.70%,1.8
Brooklyn Nets,Ben Simmons,Vet,1.6,-0.5,0.6,1,2.9,1.4,1.5,15.2,57.60%,4.3,16.70%,22.40%,6.5,52.10%,48.10%,18.20%,10.7,8,24.20%,1,1.10%,2.2,2.10%,3.4
Utah Jazz,Jordan Clarkson,Vet,1.6,1.2,2.5,-0.9,2,2.4,-0.4,23.2,52.20%,11.2,33.80%,46.80%,4.5,83.90%,20.70%,23.50%,6.4,4.2,13.70%,0.4,0.50%,1.4,1.40%,2.9
New Orleans Pelicans,Zion Williamson,Vet,1.6,-0.1,2.1,-0.5,1.8,2.6,-0.8,24,56.50%,4,27.40%,16.50%,11.2,65.30%,47.20%,28.80%,10.4,5.3,17.50%,0.9,1.00%,1.5,1.30%,3.7
Houston Rockets,Christian Wood,Vet,1.6,0.4,1.2,0.4,3.8,2.3,1.5,19.8,57.50%,8.9,35.10%,46.60%,8.4,59.40%,41.20%,23.90%,15.5,3.6,12.30%,1.5,1.70%,1.2,1.20%,3
Denver Nuggets,Michael Porter Jr.,Vet,1.6,-0.6,1.2,0.4,0.9,1.1,-0.2,19.1,56.70%,9.2,37.20%,46.60%,3.5,76.60%,19.90%,21.00%,11,2.6,8.20%,0.9,1.10%,1.5,1.30%,2.1
Oklahoma City Thunder,Shai Gilgeous-Alexander,Vet,1.6,0.9,2.7,-1.1,2.6,3.7,-1.1,27.3,50.00%,6.4,35.60%,25.10%,10.8,77.30%,43.00%,31.50%,7.1,8.2,31.20%,1.1,1.20%,1.7,1.60%,4.2
Minnesota Timberwolves,Jarred Vanderbilt,Vet,1.6,0.4,-0.2,1.8,1,-0.5,1.6,8.6,61.70%,0.7,26.80%,4.60%,3.9,61.60%,40.80%,11.20%,15.9,2.1,6.00%,1.1,1.40%,2.3,2.40%,1.7
Boston Celtics,Al Horford,Vet,1.6,2.6,-0.8,2.4,1.2,0.4,0.9,12.3,55.00%,6.8,36.80%,54.00%,2.1,81.80%,17.50%,13.50%,13.2,4.2,11.80%,2.1,2.30%,1.2,1.20%,1.3
Orlando Magic,Jonathan Isaac,Vet,1.4,-0.1,0,1.4,1.5,0.1,1.4,16.2,51.90%,5.5,32.00%,30.90%,4.3,78.10%,26.80%,18.10%,11.6,2.8,8.30%,2.2,2.80%,1.8,2.00%,1.9
Toronto Raptors,Chris Boucher,Vet,1.4,0.2,0.7,0.7,0,0.4,-0.4,16.4,58.90%,7.4,33.00%,41.60%,6,78.50%,36.00%,17.70%,14.4,1.3,3.80%,2.2,2.50%,1.2,1.20%,1.3
Washington Wizards,Bradley Beal,Vet,1.4,-0.9,2.5,-1.2,0.5,2.1,-1.6,23.8,50.00%,6.8,34.30%,29.90%,8,82.80%,34.40%,27.90%,6.4,8.5,29.40%,0.5,0.60%,1.3,1.30%,4.4
Denver Nuggets,Jamal Murray,Vet,1.4,-0.7,2.1,-0.7,-0.1,0.8,-0.9,23.5,48.40%,8.8,36.10%,43.60%,4.3,84.30%,22.70%,24.70%,6.4,6.1,21.50%,0.5,0.50%,1.7,1.70%,2.9
Phoenix Suns,Jae Crowder,Vet,1.3,-0.2,-0.5,1.9,-0.5,-1.4,0.9,13.7,49.30%,9.2,35.20%,66.90%,2.6,76.50%,20.70%,14.80%,9.1,3.1,9.60%,0.9,1.00%,1.9,1.90%,1.6
Philadelphia 76ers,Tobias Harris,Vet,1.3,-0.8,0.9,0.4,0.3,0.7,-0.4,18.3,54.20%,6.2,36.50%,34.20%,3.6,83.90%,21.30%,19.10%,10,4,11.70%,0.9,1.00%,1,1.00%,1.9
Dallas Mavericks,Dorian Finney-Smith,Vet,1.2,0.6,0.3,0.9,0,-0.3,0.4,12.6,59.90%,9,35.90%,69.40%,1.8,74.00%,15.90%,13.40%,7.4,2.9,8.00%,0.7,0.80%,1.4,1.40%,1.3
Charlotte Hornets,Montrezl Harrell,Vet,1.2,1.5,1.1,0.2,1.8,1.4,0.4,16.2,67.90%,0.8,15.20%,4.40%,8.9,65.90%,54.90%,19.80%,12.7,3.9,12.00%,1.4,1.60%,1.1,1.10%,2.3
New York Knicks,Immanuel Quickley,Sophomore,1.2,0.7,1,0.2,0.8,1.2,-0.4,21.6,45.70%,11.3,34.20%,51.70%,6.7,83.80%,32.80%,23.80%,7.7,8.3,28.20%,0.2,0.30%,1.4,1.40%,3.6
New Orleans Pelicans,Jonas Valanciunas,Vet,1.2,-0.1,0.2,1,0.5,0.4,0.2,19.8,59.30%,2.9,31.40%,15.20%,6.9,77.70%,35.80%,23.50%,20.8,4.3,13.70%,1.2,1.40%,0.9,0.90%,3.7
Oklahoma City Thunder,Mike Muscala,Vet,1.2,0.9,0.4,0.8,-0.3,0.2,-0.5,18.5,49.60%,13.4,35.40%,63.50%,3.8,82.20%,21.40%,19.30%,10.6,2,5.80%,1.6,1.80%,1,1.00%,1.2
Miami Heat,Caleb Martin,Vet,1.1,2.2,-0.1,1.2,1.3,0,1.3,15.1,52.50%,6.7,34.40%,42.60%,3.6,72.60%,23.30%,15.90%,8.1,1.9,6.10%,0.9,1.00%,2.1,2.10%,1.9
Houston Rockets,David Nwaba,Vet,1.1,0.3,0.3,0.8,1.4,0.3,1,12.7,54.80%,4.7,31.50%,35.40%,5,68.30%,34.60%,14.90%,11,2.6,7.60%,1.5,1.70%,1.9,1.90%,1.7
Golden State Warriors,Andrew Wiggins,Vet,1.1,1.4,0.4,0.8,-0.1,0.1,-0.2,19.3,51.10%,7.4,35.40%,37.40%,5.2,64.00%,27.90%,21.00%,7.6,3.1,8.90%,1.1,1.20%,1.4,1.40%,2.1
New Orleans Pelicans,Jared Harper,Vet,1.1,2.9,1.1,0,1.1,1.1,0,22.3,50.10%,13.7,32.70%,51.50%,4.9,80.70%,22.60%,22.00%,4.5,9.9,36.00%,0.6,0.70%,2.1,2.10%,3.5
New York Knicks,Alec Burks,Vet,1.1,0.2,0.3,0.8,0.5,0,0.5,14.5,45.70%,8.9,36.90%,57.40%,5.5,80.20%,34.70%,16.60%,8.8,4.8,14.40%,0.6,0.70%,1.6,1.50%,2.1
New Orleans Pelicans,Larry Nance Jr.,Vet,1,0.2,-0.2,1.3,1.2,-0.6,1.8,13.3,58.00%,3.2,30.50%,17.40%,3.9,71.50%,31.20%,15.20%,13.2,3.4,10.70%,1,1.20%,2.1,2.00%,2
Charlotte Hornets,Miles Bridges,Vet,1,0.9,1.4,-0.4,0.4,1.4,-1,20.6,57.80%,8.1,35.10%,39.50%,6.1,80.10%,31.20%,23.00%,9.5,4.8,14.60%,1.1,1.30%,1.1,1.10%,2.7
Milwaukee Bucks,Bobby Portis,Vet,1,0.9,0.4,0.7,-0.5,0.2,-0.7,19.5,52.50%,8.6,36.50%,43.70%,2.7,73.00%,14.90%,20.20%,15.9,1.9,5.60%,1,1.20%,1.3,1.30%,1.7
Chicago Bulls,Zach LaVine,Vet,1,-0.7,2,-1,1.4,2.4,-0.9,22,52.80%,9.1,36.60%,39.30%,8.4,83.20%,35.60%,26.30%,6.4,6.6,22.60%,0.5,0.60%,1,1.00%,3.8
Golden State Warriors,Jordan Poole,Vet,1,1.5,1.8,-0.8,0.2,1.8,-1.6,23.1,53.60%,12.6,35.40%,55.00%,7.2,89.40%,31.70%,26.30%,6,7.5,24.70%,0.6,0.70%,1.3,1.30%,4.3
Dallas Mavericks,Dwight Powell,Vet,1,-0.9,-0.3,1.3,0.9,0.2,0.7,11.2,67.60%,0.7,26.80%,4.20%,6.5,75.80%,55.80%,14.50%,12.2,2.4,7.00%,1.2,1.40%,1.2,1.20%,1.7
Charlotte Hornets,Terry Rozier,Vet,0.9,1.5,1.6,-0.7,1,2.2,-1.2,23,50.20%,11.6,36.30%,49.80%,4.2,82.90%,20.80%,23.60%,6.2,6.2,19.90%,0.5,0.60%,1.7,1.70%,2.4
Utah Jazz,Hassan Whiteside,Vet,0.9,2.3,-0.4,1.3,1.9,0.3,1.5,12.8,62.80%,0.7,11.20%,4.40%,6.5,57.70%,50.60%,16.10%,22,1.3,3.70%,4.5,5.40%,1,0.90%,2.4
Dallas Mavericks,Jalen Brunson,Vet,0.9,-0.1,1.6,-0.7,0.1,1.4,-1.3,23.1,53.70%,6,37.30%,26.30%,6.3,83.80%,27.40%,24.30%,6.4,6.1,19.50%,0.2,0.20%,1.2,1.20%,2.4
Indiana Pacers,Myles Turner,Vet,0.9,-0.1,-0.7,1.5,1.2,-0.3,1.5,16.2,56.20%,7.1,34.40%,41.40%,4.6,73.80%,31.00%,18.30%,11.5,2,5.50%,4.6,5.00%,1.2,1.20%,2.1
Phoenix Suns,Mikal Bridges,Vet,0.9,-0.5,0.8,0.1,-0.1,0.5,-0.6,14.6,61.00%,4.5,35.10%,29.80%,3.8,84.10%,26.60%,16.00%,6.3,2.9,8.50%,0.9,1.00%,1.6,1.60%,1.4
Denver Nuggets,Aaron Gordon,Vet,0.9,1,0.9,-0.1,-0.5,-0.1,-0.4,16.9,56.00%,5.3,32.40%,31.00%,5.7,70.20%,32.90%,19.60%,9.7,3.4,10.30%,1.1,1.20%,0.9,1.00%,2.7
Indiana Pacers,Ricky Rubio,Vet,0.8,0.4,-0.1,1,1.3,0.1,1.2,18.5,44.40%,8.1,32.60%,41.50%,5,83.60%,28.80%,20.60%,7.2,10.4,31.00%,0.4,0.40%,2.4,2.30%,3.3
Toronto Raptors,OG Anunoby,Vet,0.8,-0.4,0.2,0.6,0.5,0.2,0.3,17.9,54.50%,9.3,36.40%,51.70%,3.4,76.00%,19.40%,19.20%,7.5,3.4,10.20%,0.7,0.80%,1.9,1.90%,2.3
Dallas Mavericks,Reggie Bullock,Vet,0.8,1.2,0.3,0.5,0.5,0.4,0.1,11.5,53.20%,9.7,38.60%,82.70%,1.5,85.80%,14.40%,11.40%,6.7,2.3,6.40%,0.5,0.50%,1.2,1.20%,0.9
Sacramento Kings,Domantas Sabonis,Vet,0.8,0,0.6,0.1,1.7,0.9,0.8,18.8,56.50%,2.4,31.70%,12.10%,8.6,69.70%,44.60%,24.20%,17.4,7.9,25.20%,0.8,0.90%,1.3,1.30%,4.8
Los Angeles Clippers,Nicolas Batum,Vet,0.8,-0.5,-0.4,1.2,0.9,0,1,12.3,52.60%,8.7,36.00%,68.50%,1.7,75.30%,14.60%,12.90%,8.9,3.4,10.10%,1.2,1.30%,1.8,1.80%,1.3
Detroit Pistons,Kelly Olynyk,Vet,0.7,-0.6,0.3,0.4,2.3,1.6,0.6,16.4,55.50%,7.2,32.00%,44.80%,5.8,78.20%,34.30%,19.20%,12,6.4,18.80%,1.3,1.40%,1.8,1.80%,3.6
