Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Stl/100,Stl%,Tov/100
Miami Heat,Omer Yurtseven,Sophomore,-1.2,2,-1.5,0.3,-1,-1.6,0.5,18.2,53.40%,1.9,24.50%,8.90%,5.1,61.10%,28.50%,20.20%,18.9,2.9,9.70%,1.4,1.60%,1.1,1.10%,2.5
New York Knicks,Quentin Grimes,Rookie,-1.2,0.9,-1.2,0,-1.2,-1.1,-0.1,14.8,46.20%,12,33.80%,80.00%,2.2,72.60%,19.90%,15.70%,6.3,2.8,9.20%,0.7,0.80%,1.7,1.80%,1.7
Charlotte Hornets,Scottie Lewis,Rookie,-1.2,1,-1.4,0.2,-1.2,-1.4,0.2,15.3,49.40%,6.2,26.30%,40.50%,4.7,70.80%,28.40%,17.00%,7.6,4.1,12.40%,0.8,0.80%,1.7,1.70%,2.5
Indiana Pacers,Oshae Brissett,Vet,-1.2,-1.1,-0.5,-0.7,-1.1,-0.7,-0.3,17.4,49.20%,9.2,34.50%,50.30%,5.6,70.50%,33.70%,19.30%,11,2.6,7.60%,0.9,1.00%,1.3,1.30%,1.8
Denver Nuggets,Facundo Campazzo,Sophomore,-1.2,-1,-1.3,0.1,0.1,-0.6,0.7,11.9,44.40%,7.9,31.70%,70.10%,3.9,75.50%,27.80%,14.60%,5.5,9.3,26.10%,0.7,0.80%,2.7,2.70%,2.9
Brooklyn Nets,LaMarcus Aldridge,Vet,-1.2,-0.1,-1,-0.3,-0.4,-0.7,0.3,20.1,51.70%,2.2,34.20%,11.60%,5.9,79.20%,26.70%,22.00%,12.2,2,6.60%,2.2,2.40%,0.8,0.80%,2
Brooklyn Nets,Blake Griffin,Vet,-1.2,-1.8,-1.1,-0.1,-0.3,-0.3,0,15.3,52.80%,8.1,31.30%,53.20%,4.9,72.10%,30.40%,16.80%,11.5,5.1,15.20%,0.8,0.90%,1.3,1.30%,2.3
Dallas Mavericks,Sterling Brown,Vet,-1.3,-0.3,-1.5,0.2,-1.7,-1.6,-0.1,12.6,47.00%,6.8,34.50%,54.50%,2.6,77.10%,15.10%,13.70%,10.8,2.4,7.80%,0.6,0.60%,1.3,1.30%,1.9
Washington Wizards,Corey Kispert,Rookie,-1.3,0.8,-0.5,-0.8,-1.5,-0.6,-0.9,14.2,58.10%,9.8,34.50%,67.50%,1.8,82.10%,15.40%,14.10%,5.8,2.3,6.00%,0.6,0.70%,1,1.10%,1.2
Boston Celtics,Sam Hauser,Rookie,-1.3,0.9,-0.5,-0.8,-1.2,-0.5,-0.7,18.7,50.70%,12,32.10%,75.90%,2.7,71.30%,21.60%,15.70%,9.2,2.6,7.40%,0.7,0.90%,1.2,1.10%,1.5
New York Knicks,Cam Reddish,Vet,-1.3,-0.5,-1,-0.3,0.4,-0.2,0.6,16.8,47.00%,7.9,33.10%,48.40%,5.2,82.60%,28.80%,18.70%,5.6,2.6,8.60%,0.8,0.80%,2,2.10%,2.4
Los Angeles Clippers,Amir Coffey,Vet,-1.3,0.4,-0.4,-0.8,-1.3,-0.3,-1,16.3,52.20%,8.9,34.60%,52.20%,4.6,78.10%,29.50%,17.60%,6,3.6,11.40%,0.5,0.60%,1.2,1.20%,1.9
Dallas Mavericks,Theo Pinson,Vet,-1.3,1.1,-1,-0.3,-0.8,-0.7,-0.1,14.2,46.30%,9.9,31.80%,71.20%,3.5,82.20%,25.40%,17.10%,7.1,4.8,15.00%,0.6,0.70%,1.6,1.60%,2.7
Atlanta Hawks,Skylar Mays,Sophomore,-1.3,-1,-0.9,-0.4,-1.2,-0.9,-0.3,14.5,55.00%,4.2,30.90%,30.60%,3.9,77.90%,23.80%,15.20%,6.5,4.3,12.80%,0.4,0.40%,1.9,1.90%,2.6
Washington Wizards,Deni Avdija,Sophomore,-1.3,0.6,-1,-0.3,-2.5,-1.6,-0.8,16.4,50.60%,7.8,32.60%,46.10%,3.5,73.50%,24.50%,18.20%,10.2,4.4,13.10%,0.9,1.00%,1.3,1.30%,2.8
Denver Nuggets,JaMychal Green,Vet,-1.3,-1.2,-1.1,-0.2,-0.6,-0.8,0.2,12.6,57.00%,4.1,33.00%,29.50%,3.9,81.90%,28.90%,14.40%,12.9,2.4,7.00%,1,1.20%,1.3,1.30%,2
Utah Jazz,Trent Forrest,Sophomore,-1.3,0.6,-0.6,-0.7,-1.1,-0.4,-0.6,11.9,51.10%,2.7,27.80%,17.60%,3.6,76.40%,28.70%,13.90%,6.7,7.1,19.20%,0.6,0.60%,1.8,1.80%,3.3
Utah Jazz,Eric Paschall,Vet,-1.3,1.1,0,-1.3,-0.8,0.3,-1.1,17.3,55.70%,6.5,32.70%,38.50%,7,71.10%,36.10%,19.20%,8.2,2.4,7.10%,0.4,0.50%,0.9,0.90%,2.2
Houston Rockets,Kenyon Martin Jr.,Sophomore,-1.3,-0.7,-0.6,-0.7,-0.6,-0.6,0,13.7,59.50%,6.5,32.70%,43.50%,3.4,65.20%,26.20%,15.40%,8.5,2.4,6.90%,1.2,1.40%,1,1.10%,1.4
Boston Celtics,Aaron Nesmith,Sophomore,-1.3,0.8,-1,-0.4,-1.2,-0.9,-0.3,16,53.20%,9.8,32.10%,61.90%,3.4,77.20%,22.40%,18.30%,8.3,2.2,6.40%,0.5,0.60%,1.5,1.60%,2.2
Oklahoma City Thunder,Ty Jerome,Vet,-1.4,0.2,-0.8,-0.5,-2,-0.8,-1.2,18.3,45.20%,11.4,32.30%,59.20%,3.2,77.80%,18.80%,18.80%,5.2,7.3,24.20%,0.5,0.50%,1.5,1.60%,2.7
Denver Nuggets,Bryn Forbes,Vet,-1.4,-0.2,0,-1.4,-1.8,-0.2,-1.6,16.5,47.90%,11.4,38.10%,68.40%,2.9,84.60%,17.20%,16.70%,3.9,2.9,7.80%,0.3,0.30%,0.9,0.90%,1.5
Golden State Warriors,Moses Moody,Rookie,-1.4,1.1,-0.6,-0.8,-1.1,-0.5,-0.6,15.6,49.80%,8.9,32.40%,63.40%,4,73.10%,23.30%,17.40%,6.6,2.2,6.40%,0.7,0.90%,1.1,1.10%,1.5
Indiana Pacers,Chris Duarte,Rookie,-1.4,0.2,-0.8,-0.6,-1.2,-0.7,-0.5,19.1,47.70%,8,34.60%,41.50%,4.5,78.40%,23.00%,20.20%,7.2,3.5,11.50%,0.4,0.50%,1.7,1.70%,2.8
Denver Nuggets,Vlatko Cancar,Vet,-1.4,0.3,-1.1,-0.2,-1.2,-1,-0.2,11.8,53.70%,4.5,28.60%,39.60%,4.3,66.30%,29.20%,15.20%,10.3,3.5,10.50%,0.8,0.90%,1.3,1.20%,2.6
Washington Wizards,Kentavious Caldwell-Pope,Vet,-1.4,-1.7,-0.4,-1,0,0,0.1,18.8,47.40%,9.2,37.10%,48.00%,4.3,83.30%,22.70%,20.30%,5.4,2.9,9.20%,0.5,0.60%,1.6,1.60%,1.9
Los Angeles Lakers,Dwight Howard,Vet,-1.4,0.3,-1.9,0.5,1.4,0.1,1.3,12.1,60.10%,1.2,27.20%,5.50%,8,59.20%,67.00%,15.70%,19.3,1.9,5.70%,2.1,2.30%,1.3,1.30%,3.1
Oklahoma City Thunder,Josh Giddey,Rookie,-1.4,0.5,-0.5,-0.9,-1,0.2,-1.2,19.9,46.70%,6.1,29.10%,30.50%,3.6,71.30%,19.10%,23.50%,12.1,9.4,29.50%,0.5,0.70%,1.4,1.40%,4.6
New Orleans Pelicans,Tony Snell,Vet,-1.4,0.4,-1,-0.4,-1.8,-1.2,-0.6,13,47.50%,8.6,36.40%,69.80%,1.4,80.20%,13.10%,12.90%,6.2,1.8,6.00%,0.6,0.60%,1,0.90%,1.6
New York Knicks,Jericho Sims,Rookie,-1.4,1.4,-2.1,0.7,-1.4,-2.2,0.8,6.6,60.00%,0.8,20.70%,5.20%,2.8,50.80%,37.90%,8.60%,14.7,2,5.80%,1.7,2.00%,1.1,1.10%,2
Cleveland Cavaliers,Caris LeVert,Vet,-1.4,-0.8,-0.3,-1.1,-1.8,-1.1,-0.7,19.5,50.30%,6.6,32.00%,36.00%,4.8,74.30%,25.80%,21.00%,6.2,6.1,18.30%,0.6,0.70%,1.6,1.60%,2.9
Milwaukee Bucks,Sandro Mamukelashvili,Rookie,-1.4,1.5,-0.8,-0.6,-1.1,-0.7,-0.4,14.6,53.00%,6.8,30.50%,44.70%,4.5,73.40%,28.20%,17.40%,11,2.6,7.60%,1.2,1.40%,1.2,1.20%,2.1
Detroit Pistons,Frank Jackson,Vet,-1.4,-0.4,-0.3,-1.1,-1.7,0,-1.7,19,50.30%,10.4,34.00%,51.40%,4.8,80.50%,26.20%,19.90%,4.7,2.7,8.10%,0.4,0.40%,1.1,1.10%,1.9
Portland Trail Blazers,Brandon Williams,Rookie,-1.4,1.2,-1.3,-0.1,-0.9,-1.1,0.2,20.4,46.50%,7.8,31.40%,38.20%,6.6,71.70%,31.70%,22.90%,5.6,7.4,25.00%,0.6,0.70%,1.8,1.80%,4.4
San Antonio Spurs,Romeo Langford,Vet,-1.4,0.3,-1.6,0.1,-1.6,-1.6,0,12,48.80%,5.1,30.20%,43.50%,3.8,61.40%,30.00%,14.30%,6.9,1.8,5.20%,1,1.10%,1.3,1.30%,1.4
Atlanta Hawks,De'Andre Hunter,Vet,-1.4,-1,-0.8,-0.6,-2.2,-1.2,-1,19.7,49.50%,6.7,35.80%,33.80%,6,78.70%,30.30%,21.60%,6.4,2,6.10%,0.6,0.70%,1,1.10%,2.2
Los Angeles Lakers,Talen Horton-Tucker,Vet,-1.4,-0.6,-1.3,-0.1,-1.9,-1.5,-0.4,19.2,50.00%,6.5,30.40%,33.10%,5.4,75.90%,26.90%,21.60%,6.3,5.1,16.80%,0.9,1.00%,2,2.00%,3.2
Los Angeles Clippers,Marcus Morris Sr.,Vet,-1.4,-1.2,-0.5,-0.9,-1.6,-0.5,-1.1,21.2,47.80%,9.3,37.50%,44.20%,4.6,82.00%,22.70%,22.80%,7.5,3.3,11.00%,0.6,0.70%,1,1.00%,2
Denver Nuggets,Austin Rivers,Vet,-1.4,-0.6,-0.8,-0.7,-1.2,-1.1,-0.1,9.7,52.30%,6.9,34.00%,68.60%,1.6,71.80%,16.60%,10.80%,4.1,2.9,8.50%,0.4,0.40%,1.7,1.60%,1.5
Philadelphia 76ers,Isaiah Joe,Sophomore,-1.5,-0.2,-1.1,-0.4,-1.5,-1.1,-0.3,15.4,46.80%,11.4,34.00%,76.20%,3.5,80.00%,22.70%,15.40%,4.8,2.4,7.20%,0.3,0.40%,1.3,1.30%,1.6
Denver Nuggets,Jeff Green,Vet,-1.5,-0.1,-1.3,-0.2,-1.4,-1.3,-0.1,11.7,58.00%,3.9,33.70%,34.00%,4.3,79.50%,36.70%,13.20%,6.9,2.2,6.00%,0.7,0.90%,0.9,0.90%,1.4
Toronto Raptors,Dalano Banton,Rookie,-1.5,0.7,-1.9,0.4,-1.5,-1.9,0.3,14.4,49.70%,3.7,26.80%,25.00%,4.8,60.30%,31.60%,16.60%,9.3,6.9,19.10%,0.7,0.80%,1.7,1.80%,3.8
Sacramento Kings,Josh Jackson,Vet,-1.5,-1,-1.6,0.1,-2,-1.8,-0.2,18.3,49.40%,7.2,30.80%,37.30%,6.7,69.60%,34.60%,20.40%,8.4,2.9,11.80%,1.4,1.50%,1.6,1.60%,3.1
Milwaukee Bucks,Wesley Matthews,Vet,-1.5,-0.4,-1.9,0.4,-2.8,-2.3,-0.5,8.9,48.70%,7.9,34.40%,74.90%,1.7,77.90%,17.90%,10.00%,4.9,2,6.00%,0.5,0.60%,1.3,1.30%,0.9
Cleveland Cavaliers,Ed Davis,Vet,-1.5,-0.4,-3,1.5,-0.1,-2.2,2,6.6,50.40%,1.7,14.80%,7.90%,3.3,52.50%,38.40%,7.70%,16.6,2.1,6.40%,1.8,2.10%,1.2,1.20%,1.5
Detroit Pistons,Saddiq Bey,Sophomore,-1.5,-0.2,-0.4,-1.1,-0.6,0.1,-0.7,21.5,46.30%,12.4,36.00%,56.40%,5,80.60%,25.00%,21.70%,7.3,4,12.50%,0.4,0.50%,1.3,1.30%,1.8
Oklahoma City Thunder,Isaiah Roby,Vet,-1.5,1.3,-1.5,0,-0.6,-0.9,0.4,17.2,53.10%,6.7,33.50%,37.80%,5.8,68.10%,35.60%,19.50%,11,3.6,11.70%,1.6,1.80%,1.7,1.70%,3.1
Sacramento Kings,Alex Len,Vet,-1.5,-1.2,-2.1,0.7,-1.4,-2,0.7,13.5,56.30%,2.1,29.80%,10.00%,5.2,60.20%,36.20%,16.90%,13,3.1,9.50%,2.1,2.40%,1.2,1.00%,2.9
Orlando Magic,Bol Bol,Vet,-1.5,-0.3,-1.9,0.4,-1.4,-1.9,0.6,15.9,55.90%,5.5,27.30%,30.20%,4.4,69.50%,30.80%,17.70%,11.8,2.8,9.30%,2.2,2.80%,1.2,1.10%,2.9
Boston Celtics,Malik Fitts,Sophomore,-1.5,0.6,-1.3,-0.2,-1.5,-1.3,-0.2,20.1,53.30%,7.8,29.80%,45.80%,4.1,70.30%,24.60%,18.80%,12.2,3.5,9.50%,0.8,0.90%,1.3,1.20%,2.4
Chicago Bulls,Malcolm Hill,Rookie,-1.5,0.4,-0.9,-0.6,-1.5,-0.9,-0.6,13.2,49.70%,8.4,32.30%,65.10%,3.3,72.90%,24.60%,14.20%,8.3,2.5,8.20%,0.7,0.80%,1.4,1.50%,1.7
Philadelphia 76ers,Charles Bassey,Rookie,-1.5,1,-1.2,-0.3,-1.5,-1.2,-0.3,15.4,57.20%,1.9,22.70%,13.80%,5.2,66.70%,34.50%,17.60%,15.2,2.6,8.10%,2.8,3.40%,1.4,1.40%,2.8
Washington Wizards,Anthony Gill,Sophomore,-1.6,0.3,-1.2,-0.3,-1.9,-1.3,-0.5,12.2,52.60%,3.9,32.60%,25.20%,4.6,77.50%,33.30%,14.10%,9.6,2.5,7.80%,1,1.10%,1,1.00%,2.1
Houston Rockets,Josh Christopher,Rookie,-1.6,0.6,-0.9,-0.7,-0.9,-0.8,-0.2,17.7,51.80%,6.6,30.70%,37.20%,4.4,73.50%,25.50%,20.20%,6.9,5.4,18.00%,0.6,0.70%,2.3,2.30%,3.6
Oklahoma City Thunder,Aleksej Pokusevski,Sophomore,-1.6,2.1,-1.8,0.2,-2.4,-1.9,-0.5,17.7,48.90%,8.4,29.00%,47.50%,3.1,70.90%,17.80%,20.40%,12.1,5.7,18.30%,1.4,1.60%,1.4,1.40%,4.1
Utah Jazz,Nickeil Alexander-Walker,Vet,-1.6,-0.5,-1,-0.5,-1.6,-1.3,-0.2,19.8,45.70%,11.1,31.80%,58.10%,4.7,72.30%,22.50%,21.00%,6.4,5.4,16.60%,0.9,1.00%,1.7,1.70%,3.4
Indiana Pacers,Nate Hinton,Sophomore,-1.6,-0.1,-2.1,0.5,-1.5,-2.1,0.5,15.6,51.80%,8,29.70%,47.70%,4.5,73.30%,27.10%,16.90%,7.5,3.6,11.30%,0.9,0.90%,1.7,1.80%,2.4
Toronto Raptors,Yuta Watanabe,Vet,-1.6,-0.7,-1.4,-0.2,-1.3,-1.3,-0.1,16.5,48.70%,8.6,32.90%,50.80%,5,64.50%,25.00%,18.20%,10,2.6,7.80%,1.3,1.50%,1.5,1.40%,1.9
Miami Heat,Gabe Vincent,Vet,-1.6,0.6,-1.3,-0.3,-1.8,-1.4,-0.4,15.2,48.70%,9.8,34.80%,63.30%,1.9,81.10%,14.20%,15.40%,4.3,6.4,16.70%,0.3,0.30%,1.8,1.80%,2.6
Brooklyn Nets,Day'Ron Sharpe,Rookie,-1.6,1,-0.3,-1.3,-1.9,-0.4,-1.5,17,56.90%,1.8,23.90%,10.60%,6.1,60.50%,33.20%,20.90%,16.2,2.4,7.10%,1.6,2.00%,1.3,1.30%,4.6
Golden State Warriors,Chris Chiozza,Vet,-1.6,-0.8,-1.9,0.3,-1.4,-1.9,0.5,10.8,45.50%,7,30.10%,63.20%,1.9,71.50%,17.20%,12.90%,5.2,8.9,25.00%,0.4,0.40%,1.8,1.80%,3.5
Charlotte Hornets,Jalen McDaniels,Vet,-1.6,0,-1.2,-0.4,-1.7,-1.2,-0.5,13.6,53.40%,6.4,33.60%,45.20%,4.1,72.80%,27.60%,15.70%,9.1,2.9,8.40%,1.1,1.30%,1.4,1.40%,2.2
Sacramento Kings,Neemias Queta,Rookie,-1.6,1.6,-2,0.4,-1.6,-2,0.4,13.1,52.20%,0.7,19.80%,5.80%,5.3,63.00%,42.70%,16.50%,12.8,1.9,5.00%,2.6,3.50%,0.9,0.90%,2.2
Los Angeles Clippers,Jason Preston,,-1.6,0.7,-1.1,-0.6,-1.6,-1.1,-0.6,17.1,50.40%,7.4,27.00%,40.90%,4.3,74.50%,27.00%,18.00%,6.1,5.2,16.40%,0.6,0.60%,1.7,1.70%,2.5
Philadelphia 76ers,Shake Milton,Vet,-1.6,-0.3,-1.1,-0.6,-2.1,-1.4,-0.7,14.1,51.20%,5.6,34.90%,39.70%,3.3,82.00%,23.30%,14.10%,5.9,5,14.20%,0.7,0.80%,1.3,1.20%,1.9
Brooklyn Nets,Goran Dragic,Vet,-1.6,-0.8,-1.2,-0.4,-3.2,-2.2,-1,15.2,46.90%,6.6,32.90%,43.70%,3,79.00%,20.40%,16.70%,6.9,7,18.80%,0.4,0.50%,1.4,1.50%,3
Chicago Bulls,Coby White,Vet,-1.6,-0.2,-0.5,-1.1,-1.8,-0.6,-1.3,18.7,47.90%,11.4,35.50%,59.70%,2.9,84.70%,16.90%,19.50%,5.7,4.9,14.70%,0.3,0.40%,1,0.90%,2.3
Atlanta Hawks,Kevin Knox II,Vet,-1.6,0.8,-0.3,-1.3,-0.5,0.4,-1,23.1,46.10%,15.5,33.00%,70.90%,5.4,70.00%,24.50%,25.30%,8.5,2.4,7.90%,0.8,0.80%,1.1,1.20%,2
Phoenix Suns,Bismack Biyombo,Vet,-1.7,0.4,-2.8,1.2,-2.3,-2.8,0.5,13.4,56.00%,0.8,15.00%,4.00%,6.6,50.20%,46.00%,18.10%,14.8,2.2,7.30%,2.7,3.10%,0.8,0.80%,2.7
Indiana Pacers,Gabe York,Rookie,-1.7,0.1,-1.1,-0.6,-1.7,-1.1,-0.6,14.8,49.00%,9.9,32.70%,64.60%,3.5,74.80%,23.10%,16.50%,5.7,6.5,19.40%,0.5,0.50%,1.9,1.90%,2.7
Washington Wizards,Ish Smith,Vet,-1.7,-0.7,-1.3,-0.4,-0.8,-0.2,-0.6,18,46.20%,3.5,29.80%,18.60%,1.6,68.30%,12.00%,20.30%,6.6,10,31.00%,0.8,0.90%,1.8,1.80%,3.4
Phoenix Suns,Landry Shamet,Vet,-1.7,-0.5,-0.9,-0.8,-1.8,-0.8,-1,15.8,48.10%,10.5,35.90%,65.70%,2.7,81.10%,16.80%,15.50%,4.4,2.8,8.30%,0.4,0.40%,1,1.00%,1.3
Milwaukee Bucks,Thanasis Antetokounmpo,Vet,-1.7,-0.1,-1.6,-0.1,-1,-1.3,0.2,13.8,59.00%,2.1,22.80%,12.00%,6.5,58.30%,41.10%,17.80%,10.9,2.4,7.90%,1.1,1.20%,1.6,1.70%,2.7
Toronto Raptors,David Johnson,Rookie,-1.7,0.9,-1.5,-0.3,-1.7,-1.4,-0.3,16,48.70%,7.4,28.20%,43.80%,4.4,72.30%,27.90%,18.10%,7.5,4.1,13.10%,0.7,0.80%,1.6,1.70%,2.9
Indiana Pacers,Lance Stephenson,Vet,-1.7,0.5,-0.5,-1.2,-2.6,-1.6,-1,19.4,50.50%,5.5,30.80%,28.10%,4.9,73.10%,28.10%,22.70%,8,8.9,28.60%,0.4,0.40%,1.3,1.30%,4.2
Houston Rockets,Usman Garuba,Rookie,-1.7,0.3,-1.8,0.1,-1.8,-1.9,0,8.6,53.10%,3.8,28.90%,40.20%,2.7,68.10%,27.90%,10.70%,15.3,2.7,7.70%,1.9,2.10%,1.5,1.60%,1.5
Washington Wizards,Tomas Satoransky,Vet,-1.8,-1.6,-1.8,0,-1.6,-1.6,0,10.5,50.10%,3.4,31.80%,26.50%,3,79.30%,25.60%,13.70%,6.8,10.7,31.00%,0.4,0.50%,1.6,1.60%,3.4
Charlotte Hornets,JT Thor,Rookie,-1.8,1.1,-2,0.3,-1.7,-2,0.3,11,52.90%,4.1,25.70%,41.80%,4.3,61.70%,28.10%,13.90%,9.4,2.9,8.40%,1.8,2.10%,1.4,1.40%,2.2
Orlando Magic,Devin Cannady,Sophomore,-1.8,-0.1,-1.3,-0.4,-1.8,-1.3,-0.4,14.8,45.00%,11.7,35.20%,73.60%,2.6,76.20%,18.50%,15.20%,4.1,3.5,10.30%,0.5,0.70%,1.9,1.80%,1.5
Charlotte Hornets,Arnoldas Kulboka,Rookie,-1.8,1.7,-1.5,-0.3,-1.8,-1.5,-0.3,14.9,50.30%,7.9,28.30%,50.60%,4,67.50%,27.50%,16.00%,10.7,2.4,8.60%,1.3,1.40%,1.2,1.20%,2.4
Houston Rockets,Daishen Nix,Rookie,-1.8,0.6,-1.7,0,-1.8,-1.7,-0.1,11.9,48.40%,4.9,26.40%,39.20%,4.4,61.30%,35.80%,16.40%,6.5,6.4,19.50%,0.5,0.40%,1.9,2.00%,3.6
Orlando Magic,Cole Anthony,Sophomore,-1.8,0.2,-1.1,-0.7,-2.2,-1.2,-1.1,20.1,45.10%,8.4,32.30%,42.60%,6.3,80.40%,28.10%,23.00%,7.6,8.1,26.00%,0.4,0.50%,1.1,1.10%,3.9
Oklahoma City Thunder,Luguentz Dort,Vet,-1.8,0.4,-0.8,-1,-1,0.5,-1.5,22,44.70%,11.4,32.40%,54.80%,6.8,79.10%,29.20%,24.30%,6.2,2.7,8.80%,0.6,0.60%,1.4,1.30%,2.7
Los Angeles Lakers,Wenyen Gabriel,Vet,-1.8,0.7,-1.7,-0.1,-2,-1.9,-0.1,14.2,55.70%,3.4,30.90%,20.90%,5.6,65.30%,40.70%,15.80%,12.3,2,6.80%,1.6,1.70%,1.2,1.20%,2.5
Los Angeles Clippers,Jay Scrubb,Sophomore,-1.8,0.3,-1.6,-0.2,-1.9,-1.7,-0.2,15.9,52.20%,6.5,28.70%,42.10%,4.2,75.10%,25.80%,18.20%,7.1,2.8,9.00%,0.8,0.90%,1.5,1.60%,2.6
Detroit Pistons,Cory Joseph,Vet,-1.8,-0.9,-1.6,-0.2,-2,-1.7,-0.3,12.5,48.40%,6,35.20%,44.30%,3.4,84.00%,26.40%,13.60%,5.7,6.2,19.40%,0.6,0.70%,1.5,1.50%,2.3
Houston Rockets,Jalen Green,Rookie,-1.8,-0.1,0.7,-2.5,-1.6,1.3,-2.9,23.4,50.20%,11.2,33.20%,48.30%,6.3,77.70%,29.70%,24.90%,5.3,3.8,13.00%,0.5,0.60%,1,1.00%,2.7
Boston Celtics,Matt Ryan,Rookie,-1.8,-0.1,-1.3,-0.5,-1.8,-1.3,-0.5,16.7,48.30%,12.3,30.60%,64.70%,4.2,67.40%,25.80%,18.60%,8.1,2.7,8.10%,0.8,0.90%,1.5,1.50%,2.1
Toronto Raptors,Armoni Brooks,Sophomore,-1.8,0,-1.1,-0.8,-1.6,-1.1,-0.5,14.9,48.40%,13.4,31.80%,90.60%,2.1,74.80%,18.50%,14.60%,6.6,3.1,9.50%,0.6,0.70%,1.5,1.50%,1.6
Toronto Raptors,Svi Mykhailiuk,Vet,-1.8,-0.2,-1.2,-0.6,-1.8,-1.3,-0.5,18.4,49.20%,11.9,33.90%,67.60%,3.3,78.20%,17.60%,20.00%,6.2,3.2,9.70%,0.4,0.50%,1.6,1.70%,2.3
Washington Wizards,Jordan Schakel,Rookie,-1.9,0.3,-1.5,-0.3,-1.8,-1.5,-0.3,15.4,45.00%,8,29.40%,55.20%,4,71.30%,24.10%,16.90%,8.4,2.7,8.30%,0.7,0.80%,1.4,1.50%,2.2
Cleveland Cavaliers,Collin Sexton,Vet,-1.9,-0.6,-0.4,-1.4,-1.3,0.9,-2.2,22.9,49.40%,7.2,34.50%,31.70%,8.1,79.20%,34.70%,25.50%,5.4,5.5,18.70%,0.3,0.40%,1.5,1.30%,3.7
Houston Rockets,Anthony Lamb,Sophomore,-1.9,0.2,-1.2,-0.6,-1.8,-1.2,-0.6,13.4,47.90%,8,30.40%,59.40%,3.7,76.40%,26.90%,15.20%,8.6,3.4,11.60%,0.7,0.80%,1.2,1.20%,2.4
Denver Nuggets,Zeke Nnaji,Sophomore,-1.9,0,-1.4,-0.4,-1.4,-1.2,-0.2,12.9,52.80%,6,32.70%,44.80%,4.9,62.50%,29.70%,15.00%,10.6,1.6,4.70%,0.8,1.00%,1.3,1.30%,1.9
Memphis Grizzlies,Yves Pons,Rookie,-1.9,0.3,-1.9,0,-1.8,-1.9,0,13.5,48.30%,7.9,30.70%,57.50%,3.4,67.20%,21.90%,15.10%,8.2,2.2,7.00%,1.4,1.50%,1.4,1.40%,1.8
Dallas Mavericks,Marquese Chriss,Vet,-1.9,-0.9,-1.6,-0.3,-2.2,-1.4,-0.8,19.1,53.50%,3.2,26.50%,17.20%,6.9,68.00%,36.20%,20.90%,15,2.5,8.50%,2,2.40%,1.6,1.60%,2.8
Charlotte Hornets,Kai Jones,Rookie,-1.9,1,-1.9,-0.1,-1.9,-1.9,0,14.9,54.30%,2.9,22.30%,17.50%,5.7,59.80%,39.20%,17.50%,11.9,2.5,7.70%,1.9,2.30%,1.2,1.20%,2.8
Miami Heat,Javonte Smart,Rookie,-1.9,0.6,-1.6,-0.3,-1.8,-1.6,-0.2,16,45.90%,8.6,29.70%,50.90%,3,74.60%,19.40%,16.00%,6.1,3.2,11.20%,0.6,0.70%,1.5,1.60%,2.3
Charlotte Hornets,Isaiah Thomas,Vet,-1.9,1.3,-0.2,-1.7,-2.1,-0.6,-1.5,23.9,46.70%,12.4,35.70%,51.50%,4.4,80.70%,21.40%,23.50%,4.9,5.3,18.10%,0.5,0.60%,1,1.00%,3
Charlotte Hornets,Nick Richards,Sophomore,-1.9,-0.4,-1.8,-0.2,-1.8,-1.8,0,12.6,61.70%,1,14.80%,5.90%,7.1,62.00%,46.20%,17.50%,13.6,1.8,5.60%,4.7,3.10%,0.7,0.80%,3.3
Toronto Raptors,Malachi Flynn,Sophomore,-1.9,-0.6,-1.5,-0.4,-1.8,-1.5,-0.2,15.7,45.20%,7.7,30.70%,48.00%,3,71.60%,18.70%,15.60%,5.7,6.3,17.50%,0.3,0.40%,1.9,1.90%,1.9
