Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Stl/100,Stl%,Tov/100
Chicago Bulls,Marko Simonovic,Rookie,-1.9,1,-1.6,-0.4,-1.9,-1.6,-0.4,18.4,50.20%,6,27.70%,30.80%,7.3,63.80%,36.80%,20.50%,13.2,2,5.20%,1.7,2.30%,1.2,1.20%,2.8
Golden State Warriors,Quinndary Weatherspoon,Vet,-1.9,0.5,-1.5,-0.4,-2,-1.5,-0.5,14,51.30%,4.8,28.80%,36.00%,3.9,78.90%,26.20%,16.50%,7.2,3.9,11.70%,0.7,0.80%,1.7,1.70%,2.7
Brooklyn Nets,Cam Thomas,Rookie,-1.9,0.2,-0.8,-1.1,-1.6,-0.8,-0.8,21.3,46.70%,6.3,30.00%,32.60%,5.6,78.30%,23.90%,22.40%,6.9,3.2,10.40%,0.4,0.50%,1.5,1.50%,2.4
Atlanta Hawks,Timothe Luwawu-Cabarrot,Vet,-1.9,-0.3,-1.4,-0.6,-2.7,-2.1,-0.6,12.1,48.60%,7.7,33.00%,63.10%,3.4,80.40%,26.80%,14.00%,6.8,2.5,7.30%,0.5,0.60%,1.2,1.30%,1.6
Utah Jazz,Jared Butler,Rookie,-2,0.3,-1.2,-0.8,-1.8,-1.1,-0.7,21.2,47.50%,11.8,30.10%,58.80%,3.1,72.40%,15.20%,21.50%,6.3,8.2,22.80%,0.6,0.70%,2.1,2.10%,3.8
Chicago Bulls,Patrick Williams,Sophomore,-2,0,-1.4,-0.5,-1,-0.8,-0.3,14.1,51.30%,5.3,35.90%,37.00%,4.2,73.20%,31.00%,16.80%,8.3,2,6.10%,1.1,1.20%,1.4,1.40%,2.1
San Antonio Spurs,D.J. Stewart Jr.,,-2,0.2,-1.8,-0.1,-2,-1.8,-0.1,14.9,47.00%,7.7,27.60%,45.50%,3.8,70.30%,24.10%,16.70%,6.7,4.1,12.60%,0.6,0.70%,1.5,1.60%,2.6
Chicago Bulls,Ayo Dosunmu,Rookie,-2,0.4,-1.2,-0.8,-1.5,-1,-0.5,13.5,54.10%,4.9,33.30%,34.70%,2.4,71.60%,17.90%,14.50%,5.2,6,17.00%,0.6,0.70%,1.4,1.40%,2.6
San Antonio Spurs,Robert Woodard II,Sophomore,-2,-0.2,-1.9,-0.1,-2,-1.9,-0.1,16.9,48.20%,5.8,24.50%,31.90%,4.3,70.70%,23.50%,17.80%,11.2,3.1,9.50%,1.1,1.40%,1.4,1.40%,2.3
Los Angeles Clippers,Brandon Boston Jr.,Rookie,-2,0.3,-1.6,-0.4,-1.9,-1.5,-0.4,20.1,45.70%,6.2,29.60%,31.10%,5,76.30%,26.60%,20.60%,7,3.4,11.40%,0.7,0.90%,1.6,1.60%,2.3
Los Angeles Lakers,Kent Bazemore,Vet,-2,-2.8,-2.9,0.9,-0.7,-2.1,1.4,12.5,42.50%,8.1,32.80%,66.60%,2.4,65.70%,19.90%,13.80%,7.1,3.3,9.50%,0.9,1.00%,2.3,2.30%,2.3
Los Angeles Clippers,Rodney Hood,Vet,-2,0,-1.2,-0.8,-2.9,-2.3,-0.6,11.3,46.00%,5.7,33.00%,52.20%,2.1,80.10%,18.30%,11.80%,5.7,2.5,8.10%,0.5,0.60%,1.1,1.20%,1.3
Dallas Mavericks,Trey Burke,Vet,-2,-1.2,-0.8,-1.3,-2.5,-0.8,-1.7,24.2,44.00%,9.3,34.10%,38.80%,3.9,79.10%,17.00%,23.90%,4.4,5.5,17.80%,0.3,0.30%,1.6,1.60%,2.4
Philadelphia 76ers,Paul Millsap,Vet,-2,-3.3,-2.8,0.8,-1.6,-2.7,1.1,14.1,46.70%,3.8,29.00%,24.70%,4,69.50%,25.10%,15.20%,14,3.6,11.00%,1.6,1.80%,1.7,1.80%,2.5
Cleveland Cavaliers,Cedi Osman,Vet,-2,0.6,-0.9,-1.1,-1,-0.1,-0.9,18.4,50.70%,11.9,32.50%,63.90%,4.7,68.60%,22.10%,20.00%,5.9,4.4,14.00%,0.4,0.50%,1.6,1.60%,2.3
Miami Heat,Markieff Morris,Vet,-2,0,-1.7,-0.4,-2.8,-2.2,-0.6,19.3,44.80%,8.1,32.10%,42.20%,2.5,71.70%,14.10%,19.80%,9.4,2.9,9.60%,0.6,0.70%,1.1,1.00%,2.8
San Antonio Spurs,Joe Wieskamp,Rookie,-2.1,-0.2,-1.6,-0.4,-2.1,-1.6,-0.5,12.9,47.90%,9.1,31.10%,73.60%,2.9,65.50%,22.30%,14.40%,5.6,2.6,7.00%,0.7,0.80%,1.2,1.30%,1.3
Oklahoma City Thunder,Tre Mann,Rookie,-2.1,0,-1.2,-0.9,-1.8,-1,-0.8,21.4,45.20%,11,33.70%,50.00%,3.7,78.60%,18.80%,22.60%,6.2,3.5,12.60%,0.4,0.50%,1.6,1.60%,2.7
New York Knicks,Kemba Walker,Vet,-2.1,-4.2,-0.4,-1.7,-1,0.2,-1.2,17.1,45.30%,9.8,34.10%,56.20%,4.7,84.10%,23.90%,18.40%,5.7,6.7,21.00%,0.4,0.50%,1.4,1.40%,2.5
Houston Rockets,Dennis Schroder,Vet,-2.1,-1.4,-1,-1.1,-2,-1,-1,17.4,46.60%,7.4,34.50%,41.90%,5,80.70%,28.20%,20.60%,5.8,8.4,26.60%,0.4,0.40%,1.4,1.50%,4.1
Detroit Pistons,Isaiah Stewart,Sophomore,-2.1,-1.6,-2.5,0.4,-2.5,-2.5,0.1,13.6,55.10%,3.9,29.80%,19.30%,3.5,71.80%,25.30%,15.00%,17.4,2.4,7.80%,2.1,2.50%,0.8,0.80%,2.4
Boston Celtics,Nik Stauskas,Vet,-2.1,0.8,-0.7,-1.4,-2.2,-0.3,-2,19.7,42.10%,12.6,33.40%,63.00%,4.5,80.80%,20.70%,20.60%,5.8,2.6,9.30%,0.4,0.30%,1,1.00%,2
Toronto Raptors,Precious Achiuwa,Sophomore,-2.1,0.7,-2.1,0,-2.8,-2.4,-0.4,17.6,51.20%,7.3,32.50%,39.90%,4.2,61.50%,27.40%,18.80%,11.8,2.2,6.70%,1.2,1.50%,1.1,1.00%,2.4
Washington Wizards,Rui Hachimura,Vet,-2.1,0.2,-0.7,-1.4,-1.8,-0.3,-1.5,20.2,50.70%,7.1,34.90%,33.50%,3.6,73.70%,20.70%,21.00%,8.2,2.5,7.20%,0.5,0.60%,1.1,1.10%,1.5
Houston Rockets,Bruno Fernando,Vet,-2.1,0.4,-1.2,-0.9,-2.2,-1.1,-1.1,17.3,63.20%,1.3,23.60%,7.60%,6.9,61.70%,45.20%,22.50%,16.9,2.5,8.00%,2.5,3.00%,1.1,1.00%,3.7
Atlanta Hawks,Chaundee Brown,Rookie,-2.1,0,-1.7,-0.4,-2.1,-1.7,-0.4,14.4,47.50%,8.8,30.50%,57.20%,3.3,74.00%,24.30%,15.40%,7.2,2.9,9.60%,0.5,0.50%,1.4,1.50%,1.7
San Antonio Spurs,Lonnie Walker IV,Vet,-2.1,0.4,-0.4,-1.7,-0.8,0.4,-1.2,23,47.20%,11.7,33.50%,50.70%,4.5,76.30%,20.60%,23.70%,5.3,3.6,12.10%,0.5,0.60%,1.2,1.20%,2
Miami Heat,Mychal Mulder,Vet,-2.1,-1,-1.2,-0.9,-2.3,-1.3,-1,13.4,48.60%,10.1,35.70%,71.60%,1.8,76.30%,16.20%,14.20%,4.8,1.8,5.50%,0.5,0.60%,0.9,0.90%,1.5
Cleveland Cavaliers,Brandon Goodwin,Vet,-2.2,0.4,-1.8,-0.4,-2.2,-1.9,-0.3,15.3,47.10%,5.4,28.90%,37.40%,3.9,67.10%,25.90%,17.90%,6.4,8.2,25.10%,0.2,0.30%,1.8,1.80%,3.3
Chicago Bulls,Tyler Cook,Vet,-2.2,0.4,-1.9,-0.2,-2.1,-2,-0.1,12.2,57.90%,1.3,17.20%,6.70%,7.4,61.10%,44.60%,16.00%,13,1.6,4.50%,0.9,1.00%,1.1,1.10%,2.4
Oklahoma City Thunder,Jeremiah Robinson-Earl,Rookie,-2.2,-0.1,-1.2,-1,-2,-0.9,-1,16.2,45.90%,9,31.30%,52.50%,3.9,72.40%,25.00%,18.10%,12,2.6,8.30%,0.7,0.80%,1.3,1.30%,1.9
Portland Trail Blazers,Greg Brown III,Rookie,-2.2,0.2,-2.3,0.2,-1.8,-2.3,0.4,13.2,51.70%,5.9,30.60%,42.90%,4.2,69.60%,34.30%,16.50%,9.9,2.8,8.10%,1.6,1.90%,1.7,1.60%,2.6
Oklahoma City Thunder,Vit Krejci,Rookie,-2.2,0.1,-1.8,-0.4,-2,-1.7,-0.3,12.4,50.20%,7.2,31.70%,55.10%,2,77.20%,18.50%,14.10%,7.2,3.8,12.10%,0.7,0.80%,1.3,1.30%,2.2
Golden State Warriors,James Wiseman,Sophomore,-2.2,1.6,-1.6,-0.6,-2,-1.4,-0.6,21.8,53.80%,4.7,28.40%,23.70%,4.8,65.00%,26.90%,23.70%,12.9,2.5,8.50%,1.5,1.90%,0.9,0.90%,2.9
Memphis Grizzlies,Santi Aldama,Rookie,-2.2,0.3,-1.6,-0.7,-2.3,-1.6,-0.7,19.5,52.60%,5.9,27.20%,30.20%,5.6,62.70%,32.00%,21.20%,13,2.7,9.40%,1.7,1.90%,1.1,1.10%,2.7
Detroit Pistons,Braxton Key,Rookie,-2.2,-0.1,-2.3,0.1,-2.2,-2.3,0.1,15.6,52.20%,5.5,29.80%,33.00%,4.3,68.60%,25.30%,17.80%,11.3,2.5,7.90%,2.1,2.50%,1.7,1.70%,2.6
Washington Wizards,Kyle Kuzma,Vet,-2.2,-0.9,-0.6,-1.6,-0.4,-0.3,-0.1,23.3,48.10%,9.2,32.50%,41.40%,5.6,69.90%,26.50%,26.20%,11.7,5.7,18.10%,1.1,1.30%,0.9,0.90%,4
Orlando Magic,Jalen Suggs,Rookie,-2.2,-0.6,-2.1,-0.1,-2.4,-2.1,-0.3,19.2,47.20%,7.4,30.20%,40.80%,6.2,73.60%,32.70%,22.40%,6.3,8.1,26.60%,0.7,0.80%,2.1,2.00%,4.6
Boston Celtics,Juwan Morgan,Vet,-2.2,0,-2,-0.2,-2.1,-2,-0.1,11.9,50.50%,4.8,29.40%,43.30%,3.9,63.60%,22.40%,14.00%,9.9,2.4,8.10%,0.7,0.90%,1.2,1.30%,2
Utah Jazz,Udoka Azubuike,Sophomore,-2.2,0.4,-2.1,-0.1,-2.1,-2.1,-0.1,13.5,61.70%,0.9,16.10%,5.30%,4,66.70%,28.70%,15.70%,15.6,1.3,3.80%,2.2,2.50%,0.9,0.90%,2.5
Los Angeles Clippers,Xavier Moon,Rookie,-2.2,-0.4,-1.5,-0.7,-2.2,-1.5,-0.7,16.1,46.00%,5.6,31.30%,32.10%,3.1,74.90%,19.10%,16.90%,5.1,7.9,24.50%,0.6,0.60%,1.9,1.90%,3
Utah Jazz,Xavier Sneed,Rookie,-2.3,-0.1,-1.8,-0.5,-2.2,-1.8,-0.5,14.7,46.20%,8.9,31.40%,63.00%,3.1,71.50%,22.60%,14.90%,7.6,2.9,8.60%,0.5,0.60%,1.4,1.50%,1.9
Detroit Pistons,Killian Hayes,Sophomore,-2.3,0.5,-2.6,0.4,-2,-2.7,0.7,16.1,47.20%,5.9,30.50%,36.10%,3.1,75.90%,20.00%,17.60%,6.2,7.8,24.00%,1.1,1.20%,2.2,2.20%,3.7
Cleveland Cavaliers,RJ Nembhard Jr.,Rookie,-2.3,0.3,-2,-0.3,-2.3,-2,-0.3,16.2,45.80%,3.8,26.40%,27.50%,4.3,73.50%,24.20%,17.60%,7.4,6.5,20.80%,0.5,0.50%,1.5,1.70%,2.8
Oklahoma City Thunder,Aaron Wiggins,Rookie,-2.3,0.3,-1.3,-1,-2.3,-1.2,-1.2,14.7,51.50%,5.7,31.00%,39.00%,4.2,71.30%,27.10%,16.90%,7.2,3,10.30%,0.4,0.50%,1.3,1.30%,2.6
Milwaukee Bucks,Rayjon Tucker,Vet,-2.3,-0.1,-1.3,-1,-2.3,-1.3,-1,11.3,49.20%,4.5,28.80%,48.90%,4.5,73.80%,32.10%,13.00%,6.8,4.2,12.40%,0.4,0.50%,1.5,1.60%,1.8
Washington Wizards,Vernon Carey Jr.,Sophomore,-2.3,0.3,-1.7,-0.6,-2.3,-1.7,-0.6,15.2,52.50%,1.2,23.20%,6.80%,7.4,60.90%,46.10%,18.20%,12.3,1.7,5.60%,2,2.10%,1.2,1.30%,2.4
Charlotte Hornets,James Bouknight,Rookie,-2.3,-0.3,-1,-1.3,-2.3,-1,-1.3,20.4,45.60%,6.8,31.90%,31.60%,5.4,78.10%,26.80%,22.00%,7.9,4.4,14.20%,0.4,0.50%,1.5,1.50%,2.9
Oklahoma City Thunder,Melvin Frazier Jr.,Vet,-2.3,-0.7,-1.9,-0.4,-2.3,-2,-0.3,15.5,48.50%,7.6,33.30%,43.40%,3.9,70.90%,23.30%,16.60%,5.7,2,6.10%,0.5,0.50%,1.5,1.50%,2
New Orleans Pelicans,Kira Lewis Jr.,Sophomore,-2.3,-0.8,-1.5,-0.9,-2.4,-1.4,-1,17.9,48.40%,7.9,32.00%,41.60%,3.5,79.70%,20.50%,19.50%,5.2,6.5,21.60%,0.5,0.60%,1.7,1.80%,2.6
Detroit Pistons,Marvin Bagley III,Vet,-2.3,-0.1,-1.1,-1.2,-2.6,-1,-1.6,19.4,56.20%,3.8,29.40%,20.40%,5.8,63.20%,31.40%,21.60%,14.2,2,5.80%,1,1.20%,1,1.00%,2.3
Memphis Grizzlies,Jarrett Culver,Vet,-2.3,-0.4,-2.1,-0.2,-2.3,-2.2,0,20.4,44.10%,6.9,31.60%,37.10%,5.5,50.80%,24.40%,21.20%,7.6,3.7,12.40%,0.9,1.00%,2.1,2.10%,2.8
Los Angeles Lakers,Avery Bradley,Vet,-2.4,-0.4,-2.1,-0.3,-1.4,-1.6,0.2,11.4,46.80%,7.5,34.10%,66.10%,1.3,80.30%,11.00%,12.20%,4.8,1.7,4.90%,0.4,0.40%,1.6,1.70%,1.3
Cleveland Cavaliers,Lamar Stevens,Sophomore,-2.4,-0.8,-2,-0.3,-2.4,-2.1,-0.3,15.9,53.30%,2.7,29.30%,16.70%,4.8,70.50%,30.40%,18.30%,8.8,2.2,6.80%,0.9,1.10%,1.5,1.60%,2.3
Brooklyn Nets,David Duke Jr.,Rookie,-2.4,0.2,-2.2,-0.2,-2.5,-2.3,-0.2,15,47.50%,5.8,31.10%,39.90%,4,73.70%,24.70%,15.70%,8.1,2.7,8.40%,0.6,0.70%,1.7,1.90%,2.1
Philadelphia 76ers,Myles Powell,Sophomore,-2.4,0.1,-1.8,-0.6,-2.4,-1.8,-0.6,15.8,49.10%,6.8,28.50%,44.40%,3.6,75.90%,21.40%,16.80%,5.9,5.1,16.50%,0.3,0.40%,1.6,1.70%,2.9
Philadelphia 76ers,DeAndre Jordan,Vet,-2.4,-1,-3,0.6,-1.6,-2.8,1.2,11.3,65.40%,0.5,13.50%,3.40%,4.1,54.00%,31.10%,14.50%,18.9,1.8,5.90%,2.5,2.90%,0.8,0.80%,2.7
New York Knicks,Miles McBride,Rookie,-2.4,0.4,-2,-0.4,-2.7,-2.1,-0.5,13.5,45.00%,9.9,32.50%,71.20%,2.1,73.20%,16.60%,13.70%,5.4,5.2,14.00%,0.2,0.30%,1.8,1.80%,1.3
Phoenix Suns,Elfrid Payton,Vet,-2.4,-0.5,-2.5,0.1,-2,-2,0,16.8,43.60%,2.5,28.10%,14.80%,4,50.80%,22.00%,19.60%,7.7,8.6,24.90%,0.4,0.50%,2,2.00%,4.2
Philadelphia 76ers,Charlie Brown Jr.,Vet,-2.4,0.3,-2.8,0.3,-2.4,-2.8,0.4,11.9,44.90%,4.2,30.90%,35.90%,3.6,77.20%,27.80%,13.90%,8.2,2.5,7.50%,0.9,1.00%,1.6,1.80%,2.2
Los Angeles Lakers,Mac McClung,Rookie,-2.5,0.2,-2.4,0,-2.4,-2.4,0,13.5,48.80%,7.7,30.30%,54.00%,3.3,73.90%,24.40%,15.10%,6.2,4.1,13.80%,0.8,0.70%,1.7,1.80%,2.6
Milwaukee Bucks,Luca Vildoza,Sophomore,-2.5,-0.2,-1.8,-0.6,-2.5,-1.8,-0.6,15.3,46.10%,10.1,29.30%,68.30%,3.7,78.30%,21.70%,17.40%,5.8,7.4,22.80%,0.4,0.40%,2,2.10%,2.7
Los Angeles Lakers,Carmelo Anthony,Vet,-2.5,-0.2,-0.9,-1.5,-1.5,-0.6,-0.9,19.8,46.40%,11,35.80%,52.20%,4.4,82.20%,21.50%,20.90%,8,2,6.10%,1.2,1.30%,1.1,1.20%,1.8
Minnesota Timberwolves,Leandro Bolmaro,Rookie,-2.5,-0.4,-1.9,-0.6,-2.5,-1.9,-0.6,15.7,48.10%,4.6,26.20%,31.60%,5,70.00%,30.80%,17.40%,9,4.3,13.30%,0.4,0.50%,1.4,1.40%,3.7
Atlanta Hawks,Lou Williams,Vet,-2.5,-0.2,-0.8,-1.7,-2.7,-1.4,-1.3,18.2,43.70%,5.9,33.50%,34.30%,5,81.90%,27.40%,20.50%,5.3,6.7,19.10%,0.3,0.40%,1.6,1.50%,3.1
Atlanta Hawks,Sharife Cooper,Rookie,-2.5,0.4,-1.9,-0.6,-2.5,-1.9,-0.6,15.8,47.00%,6.7,29.00%,46.90%,3.8,74.30%,22.50%,17.60%,5.7,6.1,17.50%,0.4,0.50%,1.7,1.80%,3.1
Sacramento Kings,Davion Mitchell,Rookie,-2.5,-0.7,-0.9,-1.6,-2.6,-0.8,-1.8,19.6,48.90%,6.6,31.50%,31.90%,3.4,73.60%,18.20%,22.10%,3.9,8.5,28.20%,0.6,0.60%,1.3,1.30%,3.7
Oklahoma City Thunder,Darius Bazley,Vet,-2.5,1.4,-1.6,-0.9,-0.8,-0.6,-0.2,17.6,49.30%,8.3,32.80%,46.80%,5.3,67.40%,29.70%,19.40%,10.3,2.7,8.50%,1.2,1.50%,1.3,1.30%,2.3
Brooklyn Nets,Kessler Edwards,Rookie,-2.6,-0.4,-2.3,-0.3,-2.5,-2.5,0,13.3,47.40%,7.3,31.90%,53.20%,2,76.50%,15.70%,14.10%,8.4,1.9,5.30%,1.1,1.20%,1.4,1.40%,2
Portland Trail Blazers,Marcos Louzada Silva,Sophomore,-2.6,-0.3,-2.1,-0.5,-2.6,-2.1,-0.4,12.5,47.60%,8.5,32.80%,66.00%,2,75.40%,17.20%,13.80%,6.4,2.6,7.50%,0.8,0.80%,1.4,1.40%,1.7
Dallas Mavericks,Moses Wright,Rookie,-2.6,-0.1,-2.3,-0.3,-2.6,-2.3,-0.3,14.7,47.10%,4.8,27.80%,34.70%,4.3,69.70%,26.90%,16.00%,10.7,3.2,8.80%,1.8,1.80%,1.3,1.30%,2.3
Los Angeles Lakers,Mason Jones,Sophomore,-2.6,-0.2,-1.4,-1.2,-2.8,-1.5,-1.3,13.5,48.60%,6,30.20%,38.90%,7.1,69.20%,47.20%,16.70%,7.8,4.8,16.60%,0.4,0.50%,1.4,1.40%,2.6
Milwaukee Bucks,Lindell Wigginton,Rookie,-2.6,-0.1,-1.4,-1.2,-2.6,-1.4,-1.2,15.1,48.00%,7.2,30.10%,44.60%,7.1,64.50%,39.60%,20.10%,5.5,6.2,19.30%,0.3,0.30%,1.7,1.70%,3.7
Atlanta Hawks,Jalen Johnson,Rookie,-2.6,-0.5,-2.1,-0.6,-2.7,-2.1,-0.6,17.4,53.30%,5.5,29.20%,34.00%,4.4,67.80%,22.50%,19.90%,10,2.1,6.80%,0.9,1.10%,1.3,1.40%,2.7
Indiana Pacers,Duane Washington Jr.,Rookie,-2.7,0.1,-1.2,-1.4,-2.5,-1.3,-1.2,20.5,47.10%,11.4,34.80%,54.30%,3.5,74.70%,19.20%,20.80%,4.4,3.6,10.60%,0.3,0.30%,1.4,1.30%,2.6
Phoenix Suns,Torrey Craig,Vet,-2.7,-1,-1.9,-0.8,-1.7,-1.1,-0.6,13.7,53.90%,8.3,32.30%,61.00%,2,70.40%,16.20%,14.90%,9.8,2.5,7.80%,1.3,1.40%,1.3,1.30%,1.9
New York Knicks,Feron Hunt,Rookie,-2.7,-0.2,-2.4,-0.3,-2.7,-2.4,-0.3,13.7,48.20%,4.5,27.10%,31.80%,4.2,65.90%,29.90%,15.20%,9.7,3,9.10%,1.1,1.20%,1.4,1.50%,2.7
Detroit Pistons,Jamorko Pickett,Rookie,-2.7,0.3,-1.8,-0.9,-2.7,-1.8,-0.9,13.8,49.90%,11.2,31.90%,75.80%,2.2,68.70%,21.30%,15.00%,9.2,2.1,5.80%,1.7,1.90%,0.9,1.00%,1.4
Portland Trail Blazers,Ben McLemore,Vet,-2.7,-1.8,-1.2,-1.5,-0.2,0.4,-0.6,20.2,51.30%,15,35.50%,74.70%,3.7,78.50%,22.00%,21.20%,4.4,2.5,7.40%,0.5,0.60%,1.3,1.30%,2.1
Washington Wizards,Isaiah Todd,Rookie,-2.7,-0.1,-2.4,-0.3,-2.7,-2.4,-0.3,14,47.70%,7.2,29.70%,50.50%,3.8,63.00%,24.90%,15.80%,9.7,2.8,8.80%,1.6,1.60%,1.5,1.60%,2.2
Orlando Magic,Ignas Brazdeikis,Vet,-2.8,-0.1,-1.3,-1.6,-3.1,-1.4,-1.7,17.3,52.10%,8.4,32.60%,46.40%,3.6,70.20%,22.70%,18.30%,7,3.2,10.00%,0.4,0.50%,1,1.10%,1.7
Los Angeles Lakers,D.J. Augustin,Vet,-2.9,-0.4,-1,-1.8,-1.6,-0.8,-0.8,11.4,47.20%,9.4,37.00%,78.60%,2.3,86.60%,23.70%,12.30%,4.3,5.7,15.50%,0.2,0.20%,1.1,1.00%,2.1
Detroit Pistons,Carsen Edwards,Vet,-2.9,-1.2,-1.7,-1.1,-2.8,-1.6,-1.1,17,49.30%,9.9,33.40%,56.30%,2.5,77.50%,14.60%,16.10%,4.9,6.1,20.10%,0.3,0.30%,1.5,1.50%,2.7
Portland Trail Blazers,CJ Elleby,Sophomore,-2.9,-0.6,-2.2,-0.6,-2.6,-2.1,-0.4,12.3,49.40%,5.8,30.90%,44.40%,3.7,70.80%,26.50%,14.70%,9.1,3.5,10.40%,0.8,0.90%,1.4,1.40%,2.3
San Antonio Spurs,Joshua Primo,Rookie,-2.9,-0.7,-2.1,-0.8,-3,-2.2,-0.7,13.3,47.30%,5.8,31.10%,45.20%,3.4,74.40%,22.50%,15.10%,5.9,3.8,11.20%,0.9,1.00%,1.1,1.10%,2.6
Portland Trail Blazers,Elijah Hughes,Sophomore,-3,-1,-2.3,-0.6,-2.7,-2.3,-0.5,14.7,48.00%,9.6,31.10%,59.90%,2.2,75.50%,17.30%,15.30%,6.6,2.6,8.40%,0.9,1.00%,1.4,1.40%,1.9
Washington Wizards,Cassius Winston,Sophomore,-3,-0.3,-2,-0.9,-3,-2,-0.9,17.1,45.30%,7.1,31.10%,41.00%,4.6,79.70%,25.50%,18.50%,5.5,6.9,23.90%,0.4,0.50%,1.4,1.50%,3.5
Minnesota Timberwolves,McKinley Wright IV,Rookie,-3,-0.4,-2,-1,-3,-2,-1,13.6,47.80%,6.8,29.90%,49.20%,3.1,78.60%,22.80%,15.50%,4.4,7.1,19.60%,0.2,0.20%,1.8,1.80%,2.6
Phoenix Suns,Gabriel Lundberg,Rookie,-3,-1,-2.2,-0.7,-3,-2.3,-0.7,17,45.80%,8.5,32.00%,47.80%,3.3,73.20%,19.10%,17.50%,6.2,6.8,21.80%,0.3,0.20%,1.8,1.90%,2.8
Portland Trail Blazers,Keljin Blevins,Sophomore,-3,-0.3,-2.3,-0.7,-2.8,-2.3,-0.5,14.5,46.60%,10,32.30%,62.50%,2.1,68.50%,12.90%,15.30%,6.3,2.8,8.30%,0.4,0.40%,1.7,1.70%,1.9
Orlando Magic,Admiral Schofield,Vet,-3.2,-0.8,-1.8,-1.4,-3.3,-1.8,-1.6,13.4,48.40%,9.5,33.50%,65.10%,2.3,76.90%,19.10%,14.70%,8.8,2.5,7.50%,0.6,0.70%,0.9,1.00%,1.8
Miami Heat,Haywood Highsmith,Vet,-3.2,-0.6,-2.2,-1.1,-3.2,-2.2,-1,15,48.40%,8.5,29.60%,55.10%,3.4,59.50%,20.50%,16.10%,8.2,2.4,7.90%,0.8,1.00%,1.2,1.20%,2
Milwaukee Bucks,Jordan Nwora,Sophomore,-3.2,-0.5,-1.7,-1.6,-3.5,-2,-1.5,18.9,46.30%,8.4,31.90%,44.20%,3.5,78.20%,17.20%,19.90%,9.3,2.4,7.50%,0.7,0.80%,1.1,1.10%,2.3
Oklahoma City Thunder,Theo Maledon,Sophomore,-3.3,1,-2.3,-0.9,-2.5,-1.9,-0.6,18.8,45.40%,8.5,31.00%,45.30%,6.3,72.50%,31.70%,22.20%,7,6.4,21.00%,0.6,0.70%,1.6,1.60%,4
Portland Trail Blazers,Keon Johnson,Rookie,-3.3,-1.1,-3,-0.3,-3,-3.1,0,19,47.40%,8.2,31.30%,41.50%,3.6,78.20%,23.00%,21.30%,5.6,5.6,18.70%,0.8,0.90%,1.8,1.80%,3.5
Cleveland Cavaliers,Rajon Rondo,Vet,-3.4,-1.3,-3.3,0,-0.9,-0.9,0,10.8,45.20%,6.9,30.80%,57.00%,1.9,69.00%,16.10%,14.30%,7.2,11.5,33.10%,0.4,0.50%,2,2.00%,4.3
Orlando Magic,R.J. Hampton,Sophomore,-3.4,-0.5,-2.4,-1,-3,-2.3,-0.8,15.6,46.00%,6.6,31.50%,39.80%,3.7,65.80%,26.00%,16.90%,6.8,4.9,15.40%,0.5,0.60%,1.3,1.30%,2.7
Orlando Magic,Terrence Ross,Vet,-3.5,-2.1,-1.9,-1.6,-2,-0.8,-1.2,18.5,47.60%,9.6,33.80%,54.20%,4,82.30%,22.30%,19.10%,5.9,3.4,11.00%,0.5,0.60%,1.4,1.30%,2.1
New Orleans Pelicans,Garrett Temple,Vet,-3.8,-2.4,-2.9,-0.9,-1,-1.9,0.8,13.8,44.60%,8.6,30.50%,64.90%,2.2,70.00%,15.90%,13.90%,6.2,3.2,10.40%,0.8,1.00%,1.5,1.60%,1.7
Miami Heat,Udonis Haslem,Vet,-4.8,-0.3,-4.6,-0.2,-4.9,-4.2,-0.6,12.5,45.80%,2.9,21.40%,18.40%,1,52.40%,10.40%,14.40%,13.5,2.1,5.70%,0.7,0.90%,1,1.00%,1.9