PLAYER,TEAM,GP,putback_POSS,putback_FREQ,putback_PPP,putback_PTS,putback_FGM,putback_FGA,putback_FG%,putback_EFG%,putback_FTFREQ,putback_TOVFREQ,putback_SFFREQ,putback_ANDONEFREQ,putback_SCOREFREQ,putback_PERCENTILE
Mitchell Robinson,NYK,72,2.9,43.00%,1.32,3.8,1.6,2.2,73.40%,73.40%,25.00%,6.30%,25.50%,7.70%,69.20%,87.5
Rudy Gobert,UTA,66,2.7,21.20%,1.31,3.5,1.3,1.9,68.80%,68.80%,24.00%,7.40%,20.50%,4.00%,67.60%,86.8
Jonas Valanciunas,NOP,74,2.4,14.40%,1.24,3,1.3,2.1,60.60%,60.60%,15.00%,2.80%,13.40%,3.90%,62.00%,73
Nikola Jokic,DEN,74,2.2,9.20%,1.31,2.9,1.1,1.9,61.20%,61.20%,19.00%,2.50%,17.20%,6.70%,64.40%,85.8
Steven Adams,MEM,76,2.5,31.60%,0.96,2.4,1.1,2,51.90%,51.90%,12.00%,8.00%,9.60%,2.70%,50.80%,27
Jakob Poeltl,SAS,68,2.3,17.90%,1.14,2.6,1.2,1.9,62.10%,62.10%,10.00%,6.50%,9.80%,3.30%,58.80%,57.9
Clint Capela,ATL,74,2.7,27.70%,0.83,2.2,1,2.4,42.50%,42.50%,9.00%,2.50%,9.50%,1.50%,43.00%,13.4
Robert Williams III,BOS,61,2.2,28.10%,1.24,2.7,1.3,2,63.10%,63.10%,8.00%,3.80%,7.50%,3.80%,61.70%,75.1
Karl-Anthony Towns,MIN,74,1.8,8.30%,1.21,2.2,0.9,1.5,57.80%,57.80%,19.00%,5.90%,18.50%,5.90%,60.00%,68.8
Hassan Whiteside,UTA,65,2.1,30.10%,1.11,2.4,1,1.6,59.40%,59.40%,18.00%,7.20%,15.90%,2.20%,58.00%,51
Ivica Zubac,LAC,76,1.9,20.20%,1.06,2,0.9,1.6,55.90%,55.90%,11.00%,6.90%,11.80%,0.70%,56.30%,41
Jarrett Allen,CLE,56,2.1,15.50%,1.24,2.6,1.1,1.6,68.90%,68.90%,16.00%,12.10%,16.40%,6.00%,62.90%,75.6
Chris Boucher,TOR,80,1.8,20.30%,1.01,1.8,0.7,1.5,45.80%,45.80%,15.00%,2.80%,14.70%,2.10%,51.70%,35
Daniel Gafford,WAS,72,1.6,21.50%,1.24,2,0.8,1.3,67.00%,67.00%,13.00%,12.20%,13.00%,4.30%,61.70%,73.3
Joel Embiid,PHI,68,1.7,6.20%,1.21,2.1,0.7,1.3,56.50%,56.50%,30.00%,6.00%,29.10%,8.50%,61.50%,68.5
JaVale McGee,PHX,74,1.6,19.80%,1.15,1.9,0.9,1.5,59.10%,59.10%,8.00%,4.10%,8.20%,2.50%,58.20%,58.5
Wendell Carter Jr.,ORL,62,1.4,9.70%,1.56,2.2,1,1.2,77.60%,77.60%,17.00%,4.60%,17.20%,9.20%,75.90%,99.1
Scottie Barnes,TOR,74,1.4,9.10%,1.27,1.8,0.8,1.2,64.10%,65.20%,11.00%,3.80%,11.30%,1.90%,64.20%,80.4
Mo Bamba,ORL,71,1.6,15.40%,1.2,1.9,0.9,1.4,61.40%,61.90%,5.00%,5.40%,5.40%,0.90%,59.80%,66.2
Bobby Portis,MIL,72,1.8,13.00%,0.98,1.8,0.8,1.6,50.40%,50.40%,9.00%,6.10%,9.10%,2.30%,50.00%,29.1
Domantas Sabonis,IND,47,2.2,12.60%,1.22,2.7,1.1,1.7,62.20%,62.20%,19.00%,7.60%,17.10%,4.80%,61.90%,70.9
Brandon Clarke,MEM,64,1.5,18.00%,1.31,2,0.9,1.3,68.60%,68.60%,7.00%,3.10%,7.30%,0.00%,67.70%,86.8
Isaiah Stewart,DET,71,2.1,24.40%,0.83,1.7,0.8,1.9,41.50%,41.50%,7.00%,3.30%,7.30%,0.70%,42.70%,12.8
Jusuf Nurkic,POR,56,2.1,13.30%,1.06,2.2,0.9,1.8,52.50%,52.50%,12.00%,5.20%,12.20%,3.50%,52.20%,40.4
Giannis Antetokounmpo,MIL,67,1.3,4.90%,1.36,1.8,0.7,1.1,67.60%,67.60%,22.00%,2.20%,21.30%,4.50%,68.50%,90.5
Nikola Vucevic,CHI,73,1.2,6.80%,1.33,1.7,0.8,1.2,67.40%,67.40%,5.00%,1.10%,6.60%,2.20%,65.90%,88.1
Deandre Ayton,PHX,58,1.8,12.30%,1.13,2,0.9,1.5,61.80%,61.80%,5.00%,9.60%,5.80%,1.00%,56.70%,54.8
Julius Randle,NYK,72,1.3,5.70%,1.21,1.6,0.6,1.1,56.80%,57.40%,16.00%,2.10%,15.80%,3.20%,61.10%,69.7
Montrezl Harrell,WAS,46,1.6,14.20%,1.42,2.3,1,1.4,70.30%,70.30%,16.00%,1.40%,17.60%,5.40%,70.30%,94.4
Christian Wood,HOU,68,1.1,6.70%,1.36,1.5,0.6,0.9,72.10%,72.10%,18.00%,6.50%,15.60%,3.90%,70.10%,91.4
Kevon Looney,GSW,82,1.2,20.40%,1.03,1.3,0.5,1,54.30%,54.30%,12.00%,10.90%,11.90%,3.00%,52.50%,36.2
Jarred Vanderbilt,MIN,74,1.6,23.90%,0.9,1.4,0.6,1.3,49.50%,49.50%,7.00%,13.80%,6.90%,2.60%,44.80%,19.3
Andre Drummond,PHI,49,2,27.30%,1.06,2.1,0.9,1.6,58.20%,58.20%,10.00%,8.30%,10.40%,1.00%,56.30%,41
Dwight Howard,LAL,60,1.4,25.70%,1.19,1.7,0.6,1,62.30%,62.30%,24.00%,7.10%,23.50%,2.40%,61.20%,65.6
Bam Adebayo,MIA,56,1.3,7.10%,1.33,1.7,0.7,1,71.90%,71.90%,17.00%,9.70%,16.70%,5.60%,66.70%,89
Evan Mobley,CLE,69,1.3,8.10%,1.1,1.4,0.6,0.9,60.00%,60.00%,20.00%,9.20%,18.40%,3.40%,59.80%,50.1
Naz Reid,MIN,77,1,12.00%,1.25,1.2,0.5,0.8,61.00%,61.00%,21.00%,5.30%,21.30%,5.30%,64.00%,77.4
Aaron Gordon,DEN,75,1.1,7.50%,1.18,1.3,0.6,1,57.50%,57.50%,9.00%,2.50%,10.00%,3.80%,57.50%,63.1
Jae'Sean Tate,HOU,78,1.1,8.90%,1.13,1.2,0.5,0.9,60.00%,60.00%,13.00%,9.60%,13.30%,7.20%,56.60%,56.4
Anthony Davis,LAL,40,2,8.90%,1.19,2.3,1,1.7,59.70%,59.70%,17.00%,1.30%,14.10%,3.80%,62.80%,65.9
Alperen Sengun,HOU,72,1.1,10.60%,1.12,1.3,0.5,0.9,60.90%,60.90%,12.00%,12.20%,12.20%,2.40%,57.30%,54
Richaun Holmes,SAC,45,1.6,18.20%,1.26,2,0.9,1.3,66.10%,66.10%,12.00%,9.70%,9.70%,4.20%,62.50%,79.5
Jaren Jackson Jr.,MEM,78,1.1,6.30%,1.1,1.2,0.4,0.8,53.20%,54.00%,18.00%,9.60%,18.10%,2.40%,55.40%,49.3
Willy Hernangomez,NOP,50,2.1,23.70%,0.87,1.8,0.8,1.9,40.90%,40.90%,10.00%,1.90%,8.70%,1.00%,45.20%,16.6
Jaxson Hayes,NOP,70,1.2,15.30%,1.1,1.3,0.6,1,59.40%,59.40%,6.00%,9.90%,6.20%,1.20%,55.60%,49.6
Jimmy Butler,MIA,58,1,5.30%,1.45,1.5,0.6,0.8,68.10%,68.10%,23.00%,3.30%,23.30%,5.00%,71.70%,95.5
Terry Taylor,IND,33,1.8,23.10%,1.38,2.5,1.1,1.5,68.60%,68.60%,20.00%,3.30%,19.70%,6.60%,70.50%,92.3
Dwight Powell,DAL,82,0.8,11.20%,1.29,1,0.4,0.6,60.40%,60.40%,24.00%,8.10%,24.20%,9.70%,61.30%,82.8
Nic Claxton,BKN,47,1.3,18.20%,1.24,1.7,0.8,1.2,64.90%,64.90%,10.00%,3.20%,7.90%,3.20%,63.50%,74.7
Precious Achiuwa,TOR,73,1.2,11.80%,0.89,1.1,0.5,1.1,46.20%,46.20%,10.00%,3.40%,11.40%,3.40%,45.50%,18.1
Dewayne Dedmon,MIA,67,1,15.90%,1.17,1.1,0.5,0.8,64.20%,64.20%,8.00%,12.30%,7.70%,1.50%,58.50%,62.3
Isaiah Hartenstein,LAC,68,1,13.20%,1.1,1.1,0.5,0.9,57.40%,57.40%,6.00%,6.00%,4.50%,3.00%,55.20%,50.4
JaMychal Green,DEN,67,0.9,13.70%,1.24,1.1,0.4,0.6,59.50%,59.50%,22.00%,6.80%,20.30%,0.00%,62.70%,74.2
Keldon Johnson,SAS,75,0.7,4.40%,1.36,1,0.4,0.6,66.70%,67.80%,19.00%,0.00%,15.10%,3.80%,67.90%,90.2
Kevin Love,CLE,74,0.8,6.30%,1.22,1,0.4,0.6,63.80%,63.80%,14.00%,11.90%,13.60%,5.10%,59.30%,71.2
Pascal Siakam,TOR,68,1.1,4.80%,0.96,1.1,0.5,1,46.40%,46.40%,11.00%,4.00%,9.30%,6.70%,46.70%,27.3
Kelly Oubre Jr.,CHA,76,0.8,5.80%,1.11,0.9,0.4,0.7,50.90%,53.60%,15.00%,1.60%,12.90%,4.80%,54.80%,51.3
Damian Jones,SAC,56,0.9,13.40%,1.31,1.2,0.5,0.7,69.20%,69.20%,20.00%,7.80%,19.60%,3.90%,68.60%,87.2
Onyeka Okongwu,ATL,48,1.2,18.00%,1.18,1.4,0.6,0.9,64.40%,64.40%,18.00%,10.50%,17.50%,7.00%,57.90%,63.5
LeBron James,LAL,56,0.8,3.00%,1.41,1.2,0.5,0.8,69.00%,69.00%,13.00%,0.00%,10.90%,4.30%,71.70%,94.1
John Collins,ATL,54,1.1,7.80%,1.07,1.2,0.5,1,50.90%,50.90%,10.00%,0.00%,8.20%,0.00%,55.70%,41.8
Marvin Bagley III,SAC,30,1.6,17.20%,1.31,2.1,0.9,1.5,61.40%,62.50%,12.00%,2.00%,12.20%,4.10%,63.30%,85.5
LaMarcus Aldridge,BKN,47,1.1,9.40%,1.26,1.4,0.6,1,60.00%,60.00%,14.00%,0.00%,13.70%,2.00%,64.70%,77.7
Hamidou Diallo,DET,58,0.9,7.80%,1.26,1.1,0.5,0.8,61.40%,61.40%,12.00%,2.00%,12.00%,2.00%,64.00%,78.9
Saddiq Bey,DET,82,0.7,4.50%,1.05,0.8,0.3,0.6,49.10%,50.90%,12.00%,3.30%,13.30%,5.00%,50.00%,38.8
Al Horford,BOS,69,0.6,5.60%,1.63,0.9,0.4,0.5,76.50%,76.50%,18.00%,2.60%,18.40%,10.50%,76.30%,99.7
Montrezl Harrell,CHA,25,1.7,18.10%,1.48,2.5,1.1,1.4,79.40%,79.40%,17.00%,7.10%,16.70%,4.80%,76.20%,96.7
Goga Bitadze,IND,50,1.1,16.00%,1.15,1.2,0.5,0.9,60.00%,60.00%,15.00%,7.40%,13.00%,5.60%,59.30%,58.8
Javonte Green,CHI,65,0.8,13.60%,1.13,0.9,0.4,0.7,52.20%,52.20%,19.00%,1.90%,18.50%,5.60%,55.60%,55.5
Jayson Tatum,BOS,76,0.7,2.80%,1.09,0.8,0.3,0.6,54.50%,54.50%,18.00%,10.70%,17.90%,7.10%,53.60%,46.6
Drew Eubanks,POR,22,1.8,14.40%,1.51,2.7,1,1.4,76.70%,76.70%,18.00%,7.70%,17.90%,2.60%,74.40%,97.9
Andre Drummond,BKN,24,3,26.60%,0.83,2.5,1.2,2.5,46.70%,46.70%,11.00%,8.50%,11.30%,4.20%,42.30%,13.6
Tobias Harris,PHI,73,0.7,3.90%,1.21,0.8,0.4,0.6,60.50%,60.50%,10.00%,4.20%,10.40%,4.20%,60.40%,69.3
Kyle Kuzma,WAS,66,0.8,4.40%,1.09,0.9,0.3,0.6,53.70%,54.90%,17.00%,5.70%,18.90%,1.90%,56.60%,48.4
Trey Lyles,DET,51,0.9,8.80%,1.24,1.1,0.5,0.8,57.50%,57.50%,22.00%,4.40%,22.20%,15.60%,57.80%,76.3
Kenyon Martin Jr.,HOU,79,0.7,9.00%,0.98,0.7,0.3,0.6,54.00%,54.00%,7.00%,7.00%,5.30%,1.80%,50.90%,29.8
Day'Ron Sharpe,BKN,32,1.8,28.80%,0.98,1.8,0.8,1.6,51.90%,51.90%,5.00%,7.00%,5.30%,3.50%,49.10%,29.8
Zeke Nnaji,DEN,41,1.1,19.50%,1.17,1.3,0.5,0.8,65.60%,67.20%,21.00%,12.80%,19.10%,2.10%,63.80%,62.6
Myles Turner,IND,42,0.8,7.10%,1.54,1.3,0.5,0.7,78.60%,78.60%,23.00%,5.70%,22.90%,8.60%,77.10%,98.8
Andrew Wiggins,GSW,73,0.6,3.60%,1.23,0.7,0.4,0.6,63.40%,63.40%,9.00%,2.30%,9.10%,4.50%,61.40%,71.8
Enes Freedom,BOS,35,1.4,38.50%,1.08,1.5,0.7,1.2,56.10%,56.10%,14.00%,10.00%,12.00%,6.00%,54.00%,44.2
Isaiah Jackson,IND,36,1.4,17.10%,1.08,1.5,0.6,1.2,53.50%,53.50%,14.00%,2.00%,14.30%,4.10%,57.10%,44.8
Mason Plumlee,CHA,73,1,14.00%,0.76,0.7,0.3,0.7,45.80%,45.80%,19.00%,15.70%,18.60%,2.90%,40.00%,7.4
Carmelo Anthony,LAL,69,0.6,4.60%,1.33,0.8,0.3,0.4,61.30%,62.90%,21.00%,0.00%,20.50%,2.60%,66.70%,89
OG Anunoby,TOR,48,1,5.50%,1.13,1.1,0.4,0.7,55.90%,57.40%,24.00%,8.70%,21.70%,6.50%,54.30%,56
Aleksej Pokusevski,OKC,61,0.8,8.70%,1.04,0.9,0.4,0.8,54.30%,54.30%,4.00%,4.00%,4.00%,0.00%,54.00%,36.8
Terry Rozier,CHA,73,0.5,2.80%,1.38,0.7,0.3,0.5,66.70%,71.20%,11.00%,5.40%,10.80%,5.40%,64.90%,92.6
Terance Mann,LAC,81,0.6,6.10%,0.98,0.6,0.3,0.6,48.90%,48.90%,8.00%,5.80%,7.70%,0.00%,50.00%,29.4
Omer Yurtseven,MIA,56,0.9,16.80%,0.96,0.9,0.4,0.8,47.80%,47.80%,11.00%,1.90%,11.30%,0.00%,50.90%,27.6
Lauri Markkanen,CLE,61,0.7,4.80%,1.25,0.8,0.3,0.6,61.80%,63.20%,12.00%,5.00%,12.50%,2.50%,62.50%,77
Miles Bridges,CHA,80,0.5,2.50%,1.29,0.6,0.3,0.4,64.50%,67.70%,11.00%,7.90%,10.50%,0.00%,63.20%,82.5
Otto Porter Jr.,GSW,63,0.6,8.30%,1.23,0.8,0.4,0.6,62.20%,63.50%,5.00%,5.00%,5.00%,2.50%,60.00%,71.5
Keita Bates-Diop,SAS,59,0.7,12.50%,1.17,0.8,0.4,0.6,59.50%,59.50%,10.00%,2.40%,9.50%,0.00%,59.50%,61.6
Kyle Anderson,MEM,69,0.7,8.40%,1,0.7,0.3,0.7,51.10%,51.10%,4.00%,6.10%,4.10%,2.00%,49.00%,31.7
Oshae Brissett,IND,67,0.8,8.20%,0.94,0.7,0.3,0.6,46.30%,46.30%,15.00%,9.60%,15.40%,3.80%,46.20%,25.5
Khem Birch,TOR,55,1,21.20%,0.89,0.9,0.3,0.8,41.30%,41.30%,15.00%,5.50%,14.50%,3.60%,43.60%,19
Rudy Gay,UTA,55,0.7,8.40%,1.23,0.9,0.4,0.5,74.10%,74.10%,18.00%,17.90%,15.40%,5.10%,64.10%,72.5
P.J. Washington,CHA,65,0.7,6.90%,1.07,0.7,0.3,0.6,56.40%,56.40%,7.00%,6.70%,6.70%,0.00%,55.60%,42.3
DeMarcus Cousins,DEN,31,1.2,11.70%,1.27,1.5,0.6,0.9,65.50%,65.50%,16.00%,5.40%,16.20%,0.00%,64.90%,79.8
Derrick Jones Jr.,CHI,51,0.8,15.60%,1.18,0.9,0.4,0.7,60.00%,60.00%,10.00%,5.00%,10.00%,2.50%,60.00%,63.1
Harrison Barnes,SAC,77,0.5,3.70%,1.15,0.6,0.2,0.4,51.60%,51.60%,27.00%,4.90%,26.80%,7.30%,58.50%,58.2
Robin Lopez,ORL,37,1.1,15.70%,1.12,1.3,0.6,1.1,56.40%,56.40%,5.00%,2.40%,4.80%,0.00%,57.10%,53.3
Franz Wagner,ORL,79,0.5,3.50%,1.12,0.6,0.2,0.4,50.00%,53.10%,19.00%,7.10%,16.70%,2.40%,54.80%,53.3
John Konchar,MEM,72,0.5,10.60%,1.39,0.6,0.3,0.4,71.00%,71.00%,6.00%,0.00%,6.10%,0.00%,72.70%,93.5
Kristaps Porzingis,DAL,35,1.1,5.90%,1.24,1.3,0.7,1,63.90%,63.90%,0.00%,2.70%,0.00%,0.00%,62.20%,76
Gary Payton II,GSW,71,0.5,9.50%,1.18,0.6,0.3,0.5,65.60%,65.60%,8.00%,10.30%,7.70%,0.00%,61.50%,64.1
Dorian Finney-Smith,DAL,80,0.5,5.20%,1.1,0.6,0.3,0.5,59.50%,62.20%,0.00%,11.90%,0.00%,0.00%,52.40%,48.8
Bruce Brown,BKN,72,0.7,8.40%,0.89,0.6,0.3,0.6,45.20%,45.20%,10.00%,9.60%,7.70%,0.00%,46.20%,17.8
Tristan Thompson,SAC,30,1.8,26.60%,0.84,1.5,0.6,1.5,43.20%,43.20%,13.00%,9.10%,9.10%,1.80%,43.60%,14.5
Trendon Watford,POR,48,0.7,9.90%,1.29,0.9,0.5,0.6,71.00%,71.00%,3.00%,8.60%,2.90%,0.00%,65.70%,82
Obi Toppin,NYK,72,0.6,6.80%,1.13,0.6,0.3,0.5,56.80%,56.80%,5.00%,5.00%,5.00%,2.50%,55.00%,54.8
Nemanja Bjelica,GSW,71,0.6,9.40%,1.02,0.6,0.3,0.5,55.30%,55.30%,9.00%,6.80%,9.10%,2.30%,52.30%,35.3
Ja Morant,MEM,57,0.8,2.80%,1,0.8,0.3,0.6,54.30%,54.30%,9.00%,13.60%,9.10%,2.30%,50.00%,31.7
Herbert Jones,NOP,78,0.5,5.40%,1.08,0.6,0.2,0.3,55.60%,55.60%,20.00%,15.00%,20.00%,2.50%,55.00%,43.3
Isaiah Roby,OKC,45,0.9,10.00%,1.02,1,0.4,0.7,54.50%,56.10%,14.00%,7.10%,14.30%,0.00%,54.80%,35.6
LaMelo Ball,CHA,75,0.6,2.80%,0.96,0.6,0.2,0.5,50.00%,51.40%,7.00%,13.30%,2.20%,0.00%,46.70%,26.7
Russell Westbrook,LAL,78,0.7,3.20%,0.8,0.6,0.2,0.5,39.50%,39.50%,19.00%,13.00%,18.50%,1.90%,42.60%,10.1
Larry Nance Jr.,POR,37,0.8,12.60%,1.36,1.1,0.5,0.8,65.50%,65.50%,10.00%,0.00%,9.70%,3.20%,67.70%,89.6
Blake Griffin,BKN,56,0.7,10.10%,1.11,0.8,0.3,0.6,52.90%,52.90%,13.00%,2.60%,10.50%,5.30%,55.30%,50.7
Torrey Craig,IND,51,0.6,9.60%,1.28,0.8,0.4,0.6,65.50%,65.50%,6.00%,3.10%,6.30%,0.00%,65.60%,81
Jonathan Kuminga,GSW,71,0.5,6.10%,1.08,0.6,0.2,0.4,51.60%,51.60%,16.00%,5.30%,15.80%,2.60%,52.60%,43.9
Josh Giddey,OKC,54,0.8,5.00%,0.93,0.8,0.4,0.7,51.30%,51.30%,2.00%,9.10%,2.30%,0.00%,47.70%,24
Taj Gibson,NYK,52,0.9,21.80%,0.85,0.8,0.3,0.7,47.20%,47.20%,10.00%,18.80%,10.40%,4.20%,41.70%,16
Xavier Tillman,MEM,53,0.7,13.20%,1.08,0.8,0.3,0.6,54.80%,54.80%,14.00%,8.10%,13.50%,5.40%,54.10%,44.5
Darius Bazley,OKC,69,0.6,4.70%,1.05,0.6,0.2,0.4,61.50%,61.50%,18.00%,15.80%,18.40%,2.60%,57.90%,39.5
Jeremiah Robinson-Earl,OKC,49,0.8,10.00%,1.03,0.8,0.3,0.6,50.00%,50.00%,15.00%,7.70%,12.80%,0.00%,53.80%,35.9
Alex Len,SAC,39,0.8,12.10%,1.3,1,0.4,0.6,64.00%,64.00%,17.00%,6.70%,16.70%,6.70%,63.30%,85
Jalen Smith,IND,22,1.4,11.80%,1.3,1.8,0.7,1.2,61.50%,61.50%,13.00%,0.00%,13.30%,0.00%,66.70%,85
Luka Garza,DET,32,1,16.30%,1.26,1.2,0.5,0.7,65.20%,65.20%,26.00%,6.50%,25.80%,6.50%,67.70%,78.3
Luka Doncic,DAL,65,0.5,1.60%,1.26,0.6,0.3,0.4,67.90%,67.90%,3.00%,6.50%,3.20%,0.00%,64.50%,78.3
Bojan Bogdanovic,UTA,69,0.5,3.10%,1.08,0.6,0.2,0.4,57.10%,57.10%,14.00%,11.10%,13.90%,2.80%,55.60%,45.4
Greg Brown III,POR,48,0.6,11.00%,1.32,0.8,0.3,0.5,65.20%,65.20%,25.00%,0.00%,25.00%,7.10%,67.90%,87.8
Marvin Bagley III,DET,18,1.6,11.90%,1.28,2.1,0.9,1.3,66.70%,66.70%,14.00%,6.90%,13.80%,3.40%,65.50%,80.7
Donovan Mitchell,UTA,67,0.4,1.50%,1.44,0.5,0.2,0.3,70.00%,72.50%,24.00%,8.00%,20.00%,12.00%,68.00%,95.3
DeMar DeRozan,CHI,76,0.4,1.50%,1.24,0.5,0.2,0.3,64.00%,66.00%,7.00%,6.90%,3.40%,0.00%,62.10%,75.6
P.J. Tucker,MIA,71,0.5,7.10%,0.97,0.5,0.2,0.4,54.80%,54.80%,8.00%,13.50%,8.10%,5.40%,48.60%,28.8
Jaden McDaniels,MIN,70,0.6,5.90%,0.92,0.5,0.2,0.5,47.20%,47.20%,5.00%,7.70%,5.10%,5.10%,43.60%,22.3
Caleb Martin,MIA,60,0.5,5.50%,1.25,0.6,0.3,0.4,68.00%,68.00%,4.00%,10.70%,3.60%,3.60%,60.70%,77
Dejounte Murray,SAS,68,0.5,2.40%,0.95,0.5,0.2,0.5,48.40%,50.00%,8.00%,10.80%,8.10%,2.70%,45.90%,26.4
Trey Murphy III,NOP,62,0.4,8.00%,1.36,0.5,0.2,0.3,63.20%,63.20%,24.00%,4.00%,24.00%,4.00%,68.00%,90.8
Corey Kispert,WAS,77,0.4,4.60%,1.26,0.4,0.2,0.3,66.70%,66.70%,4.00%,7.40%,3.70%,0.00%,63.00%,78.6
Josh Christopher,HOU,74,0.4,4.20%,1.21,0.5,0.2,0.3,62.50%,62.50%,11.00%,10.70%,10.70%,7.10%,57.10%,70.4
Jock Landale,SAS,54,0.6,12.70%,1.06,0.6,0.3,0.5,53.60%,53.60%,9.00%,6.30%,9.40%,3.10%,53.10%,41
Bismack Biyombo,PHX,36,1,17.70%,0.94,0.9,0.4,0.8,50.00%,50.00%,14.00%,8.30%,11.10%,5.60%,50.00%,25.9
Mikal Bridges,PHX,82,0.4,3.60%,0.94,0.4,0.2,0.4,45.20%,45.20%,14.00%,5.60%,13.90%,5.60%,47.20%,25.9
RJ Barrett,NYK,70,0.5,2.40%,0.92,0.5,0.2,0.4,46.40%,50.00%,14.00%,13.50%,13.50%,2.70%,45.90%,22
James Harden,BKN,44,0.5,2.30%,1.38,0.8,0.3,0.5,65.20%,65.20%,8.00%,0.00%,4.20%,4.20%,66.70%,92
Devin Booker,PHX,68,0.4,1.70%,1.14,0.5,0.2,0.3,52.20%,52.20%,24.00%,6.90%,20.70%,10.30%,55.20%,57
Jalen Smith,PHX,29,1.1,18.10%,1,1.1,0.5,0.9,56.00%,56.00%,9.00%,15.20%,9.10%,0.00%,51.50%,31.7
Khris Middleton,MIL,66,0.4,2.00%,1.23,0.5,0.2,0.3,60.90%,60.90%,15.00%,3.80%,15.40%,7.70%,61.50%,72.5
Grant Williams,BOS,77,0.4,5.00%,1.19,0.4,0.2,0.2,68.40%,68.40%,11.00%,18.50%,11.10%,0.00%,59.30%,65.3
De'Anthony Melton,MEM,73,0.4,3.30%,1.14,0.4,0.2,0.3,60.00%,64.00%,0.00%,10.70%,0.00%,0.00%,53.60%,57.4
Will Barton,DEN,71,0.4,2.90%,1.03,0.5,0.2,0.4,57.10%,57.10%,0.00%,9.70%,0.00%,0.00%,51.60%,36.5
Drew Eubanks,SAS,50,0.7,13.70%,0.97,0.6,0.3,0.5,53.80%,53.80%,9.00%,12.10%,9.10%,0.00%,48.50%,28.5
Tony Bradley,CHI,52,0.6,19.60%,1,0.6,0.3,0.5,53.80%,53.80%,13.00%,3.30%,13.30%,3.30%,53.30%,32.8
Trae Young,ATL,76,0.3,1.20%,1.29,0.4,0.1,0.2,61.10%,61.10%,21.00%,8.30%,16.70%,4.20%,62.50%,83.1
Aaron Wiggins,OKC,50,0.6,6.80%,1.07,0.6,0.3,0.5,53.80%,53.80%,7.00%,3.40%,6.90%,0.00%,55.20%,42.7
Kenrich Williams,OKC,49,0.7,8.70%,0.91,0.6,0.3,0.5,50.00%,55.80%,9.00%,14.70%,8.80%,0.00%,44.10%,21.1
James Johnson,BKN,62,0.5,8.00%,1,0.5,0.2,0.5,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,31.7
Malik Monk,LAL,76,0.2,1.70%,1.71,0.4,0.1,0.2,78.60%,85.70%,24.00%,11.80%,23.50%,17.60%,70.60%,100
Marcus Smart,BOS,71,0.3,2.40%,1.26,0.4,0.2,0.3,65.00%,67.50%,4.00%,8.70%,0.00%,0.00%,60.90%,79.2
Moritz Wagner,ORL,63,0.4,4.70%,1.21,0.5,0.2,0.3,66.70%,66.70%,12.00%,12.50%,8.30%,0.00%,62.50%,69.3
