PLAYER,TEAM,GP,spotup_POSS,spotup_FREQ,spotup_PPP,spotup_PTS,spotup_FGM,spotup_FGA,spotup_FG%,spotup_EFG%,spotup_FTFREQ,spotup_TOVFREQ,spotup_SFFREQ,spotup_AND ONEFREQ,spotup_SCOREFREQ,spotup_PERCENTILE
Damian Lillard,POR,29,2.1,8.40%,1.02,2.1,0.7,2,35.60%,50.80%,1.70%,1.70%,1.70%,1.70%,35.00%,59.1
Caris LeVert,CLE,19,3.2,21.30%,1,3.2,1.2,2.7,43.10%,56.90%,4.90%,11.50%,4.90%,0.00%,39.30%,53.7
Ignas Brazdeikis,ORL,42,1.6,30.50%,0.91,1.5,0.5,1.5,36.10%,48.40%,3.00%,6.00%,1.50%,0.00%,34.30%,34.3
Marvin Bagley III,SAC,30,2.8,29.10%,0.74,2,0.8,2.6,30.80%,38.50%,3.60%,6.00%,3.60%,3.60%,28.90%,12.8
Anthony Gill,WAS,44,1,30.50%,1.3,1.4,0.5,0.9,50.00%,61.30%,15.20%,2.20%,13.00%,4.30%,54.30%,96.9
Derrick Jones Jr.,CHI,51,1.5,30.10%,0.78,1.2,0.4,1.3,29.40%,41.90%,2.60%,9.10%,1.30%,0.00%,28.60%,16.7
Sandro Mamukelashvili,MIL,29,0.9,25.80%,0.96,0.8,0.3,0.8,33.30%,47.90%,4.00%,0.00%,4.00%,0.00%,36.00%,47.6
Malachi Flynn,TOR,44,1.1,23.80%,1.2,1.3,0.5,1.1,42.60%,61.70%,2.00%,4.10%,2.00%,2.00%,40.80%,91.5
DeMarcus Cousins,DEN,31,1.7,16.80%,1.11,1.9,0.7,1.5,44.70%,56.40%,13.20%,5.70%,13.20%,7.50%,45.30%,77.7
Josh Okogie,MIN,49,1.2,41.20%,0.97,1.2,0.4,1.1,34.00%,45.30%,14.80%,3.30%,14.80%,4.90%,39.30%,45.7
Terry Taylor,IND,33,1.8,23.10%,0.95,1.8,0.7,1.7,39.30%,48.20%,4.90%,3.30%,4.90%,0.00%,41.00%,40.7
Isaiah Livers,DET,19,2.9,49.50%,0.98,2.8,1,2.6,38.80%,53.10%,3.60%,9.10%,3.60%,1.80%,36.40%,49.5
Juancho Hernangomez,UTA,16,2.8,50.60%,1.18,3.3,1.1,2.6,41.50%,61.00%,4.40%,4.40%,4.40%,0.00%,42.20%,87.8
Tony Snell,NOP,15,3.1,58.20%,1.15,3.5,1.2,2.8,42.90%,63.10%,0.00%,8.70%,0.00%,0.00%,39.10%,84.3
Justin Holiday,SAC,25,2.8,29.90%,0.74,2.1,0.7,2.6,28.10%,39.80%,1.40%,7.10%,1.40%,0.00%,27.10%,13.6
Josh Hart,POR,13,3.4,18.70%,1.16,3.9,1.5,3.2,47.60%,57.10%,6.80%,2.30%,6.80%,4.50%,47.70%,85.3
Serge Ibaka,LAC,35,1.4,20.90%,1.02,1.5,0.5,1.4,37.50%,53.10%,0.00%,4.00%,0.00%,0.00%,36.00%,59.9
Rodney Hood,MIL,39,1.8,48.60%,0.73,1.3,0.4,1.7,26.20%,36.20%,2.90%,4.30%,2.90%,0.00%,27.10%,12
Brandon Goodwin,CLE,36,1.2,20.80%,1.19,1.4,0.5,1.1,47.40%,61.80%,2.40%,7.10%,2.40%,0.00%,45.20%,90.3
Bam Adebayo,MIA,56,0.9,4.90%,1,0.9,0.4,0.8,52.40%,52.40%,8.00%,10.00%,8.00%,2.00%,50.00%,53.7
Brandon Williams,POR,24,3.1,19.30%,0.68,2.1,0.7,2.9,24.30%,32.90%,2.70%,2.70%,2.70%,0.00%,25.70%,8.5
Keifer Sykes,IND,32,2.1,28.90%,0.73,1.5,0.5,2,27.00%,38.10%,0.00%,4.50%,0.00%,0.00%,25.80%,11.8
D.J. Augustin,HOU,34,1,16.90%,1.42,1.4,0.5,1,48.50%,71.20%,0.00%,0.00%,0.00%,0.00%,48.50%,98.6
James Harden,PHI,21,2,9.60%,1.12,2.2,0.8,1.8,44.70%,56.60%,4.80%,4.80%,4.80%,0.00%,45.20%,78.9
Isaiah Stewart,DET,71,0.7,8.00%,0.96,0.7,0.3,0.7,39.60%,49.00%,2.00%,2.00%,2.00%,2.00%,38.80%,43
Daniel Theis,HOU,26,2.4,27.60%,0.75,1.8,0.6,2.3,27.10%,39.00%,1.60%,4.80%,1.60%,0.00%,27.00%,14.5
Isaiah Thomas,CHA,17,2.6,32.80%,1.02,2.7,1.1,2.6,40.90%,52.30%,0.00%,2.20%,0.00%,0.00%,40.00%,60.4
Ish Smith,CHA,37,1.3,20.50%,0.98,1.2,0.5,1.1,45.20%,52.40%,2.10%,8.50%,2.10%,0.00%,42.60%,48.6
Larry Nance Jr.,POR,37,1.6,23.50%,0.79,1.2,0.4,1.4,28.80%,42.30%,1.70%,8.60%,1.70%,0.00%,27.60%,18.4
Theo Pinson,DAL,9,1.8,55.20%,0.75,1.3,0.4,1.7,26.70%,40.00%,0.00%,6.30%,0.00%,0.00%,25.00%,15.3
Greg Brown III,POR,48,1.4,26.00%,0.7,1,0.4,1.2,29.80%,40.40%,0.00%,13.60%,0.00%,0.00%,25.80%,10.1
Andre Iguodala,GSW,31,2,38.60%,0.74,1.5,0.5,2,26.20%,36.90%,0.00%,0.00%,0.00%,0.00%,26.20%,13.2
D.J. Augustin,LAL,21,1.4,29.30%,1.52,2.1,0.7,1.4,51.70%,75.90%,0.00%,0.00%,0.00%,0.00%,51.70%,99
James Bouknight,CHA,30,1.3,23.20%,1.1,1.4,0.4,1.1,39.40%,53.00%,12.80%,5.10%,12.80%,2.60%,43.60%,75.7
Taj Gibson,NYK,52,0.7,15.90%,1.26,0.8,0.3,0.6,45.50%,63.60%,2.90%,2.90%,2.90%,0.00%,45.70%,95
Trendon Watford,POR,48,1.1,15.30%,0.78,0.9,0.3,1,33.30%,37.50%,11.10%,3.70%,11.10%,3.70%,35.20%,16.5
Jusuf Nurkic,POR,56,0.9,5.70%,0.84,0.7,0.3,0.8,32.60%,42.40%,4.10%,2.00%,4.10%,0.00%,34.70%,22.7
Marvin Bagley III,DET,18,2.8,21.00%,0.8,2.3,0.8,2.5,31.10%,38.90%,9.80%,2.00%,9.80%,0.00%,35.30%,19.2
P.J. Dozier,DEN,18,2,30.30%,1.11,2.2,0.7,1.8,39.40%,56.10%,5.60%,2.80%,5.60%,0.00%,41.70%,77.1
Rajon Rondo,CLE,21,1.9,26.20%,1.03,1.9,0.6,1.7,37.10%,54.30%,2.60%,7.70%,2.60%,0.00%,35.90%,61
Miles McBride,NYK,13,0.9,22.60%,0.58,0.5,0.2,0.9,25.00%,29.20%,0.00%,0.00%,0.00%,0.00%,25.00%,8.1
Markieff Morris,MIA,17,2.9,35.50%,0.82,2.4,0.8,2.6,31.80%,45.50%,0.00%,10.20%,0.00%,0.00%,28.60%,20.2
Justin Anderson,IND,13,3.8,51.00%,0.78,3,1.1,3.7,29.20%,37.50%,6.00%,2.00%,6.00%,4.00%,30.00%,16.9
Jeremy Lamb,SAC,17,2.3,27.90%,0.97,2.2,0.8,2.2,37.80%,51.40%,0.00%,5.10%,0.00%,0.00%,35.90%,47.3
Justise Winslow,LAC,37,1.5,27.30%,0.7,1,0.4,1.3,34.00%,39.40%,1.90%,11.10%,1.90%,0.00%,31.50%,10.9
Jevon Carter,MIL,20,1.2,26.40%,1.54,1.9,0.7,1.2,54.20%,77.10%,0.00%,0.00%,0.00%,0.00%,54.20%,99.4
DeMarcus Cousins,MIL,17,2.3,26.50%,0.95,2.2,0.8,2.2,35.10%,44.60%,7.70%,2.60%,7.70%,5.10%,35.90%,40.1
Davis Bertans,DAL,22,2.1,40.70%,0.8,1.7,0.5,1.9,28.60%,41.70%,2.20%,6.50%,0.00%,0.00%,28.30%,19.4
Dwight Powell,DAL,82,0.6,8.30%,0.8,0.5,0.2,0.5,31.00%,40.50%,4.30%,4.30%,6.50%,2.20%,30.40%,19.4
Keljin Blevins,POR,31,1.3,29.30%,0.92,1.2,0.4,1.2,34.20%,47.40%,0.00%,2.60%,0.00%,0.00%,33.30%,36.2
Donte DiVincenzo,MIL,17,2.7,28.90%,0.78,2.1,0.6,2.3,28.20%,39.70%,6.50%,8.70%,2.20%,0.00%,30.40%,17.3
Aaron Holiday,PHX,22,1.5,19.90%,1.06,1.6,0.6,1.4,45.20%,53.20%,3.00%,3.00%,3.00%,0.00%,45.50%,66.3
Isaiah Hartenstein,LAC,68,0.6,7.50%,0.92,0.5,0.2,0.5,38.20%,48.50%,5.30%,5.30%,5.30%,0.00%,36.80%,35.5
Ish Smith,WAS,28,1.5,14.50%,0.83,1.3,0.5,1.5,31.70%,42.70%,0.00%,2.40%,0.00%,0.00%,31.00%,22
Justise Winslow,POR,11,4.3,34.10%,0.75,3.2,1.1,3.9,27.90%,39.50%,4.30%,4.30%,4.30%,0.00%,27.70%,14.3
Dalano Banton,TOR,64,0.8,18.20%,0.7,0.5,0.2,0.7,28.90%,38.90%,0.00%,10.00%,0.00%,0.00%,26.00%,10.3
Brook Lopez,MIL,13,2.6,22.20%,1,2.6,0.8,2.5,34.40%,50.00%,2.90%,2.90%,2.90%,0.00%,35.30%,53.7
Mason Plumlee,CHA,73,0.5,6.80%,1,0.5,0.2,0.4,59.30%,59.30%,5.90%,17.60%,5.90%,2.90%,50.00%,53.7
Trevor Ariza,LAL,24,2.5,51.70%,0.56,1.4,0.5,2.3,22.20%,31.50%,1.60%,9.80%,0.00%,0.00%,19.70%,4.3
KZ Okpala,MIA,21,1.4,37.20%,1.14,1.6,0.6,1.4,41.40%,56.90%,0.00%,0.00%,0.00%,0.00%,41.40%,82.2
Serge Ibaka,MIL,19,1.6,25.40%,1.1,1.7,0.6,1.4,44.40%,57.40%,3.30%,6.70%,3.30%,0.00%,43.30%,75
Kyle Guy,MIA,18,1.1,23.50%,1.16,1.2,0.4,1,44.40%,61.10%,0.00%,5.30%,0.00%,0.00%,42.10%,83
Dennis Schroder,HOU,15,2.3,17.40%,0.97,2.2,0.6,1.9,32.10%,44.60%,11.80%,5.90%,11.80%,0.00%,38.20%,46.1
Kira Lewis Jr.,NOP,24,1.6,21.60%,0.87,1.4,0.5,1.5,36.10%,45.80%,0.00%,5.30%,0.00%,0.00%,34.20%,26.9
Damian Jones,SAC,56,0.6,8.10%,1.03,0.6,0.2,0.5,37.90%,50.00%,6.50%,3.20%,6.50%,3.20%,38.70%,62
Saben Lee,DET,37,1.2,18.70%,0.7,0.9,0.3,1.1,28.60%,35.70%,2.20%,6.50%,0.00%,0.00%,28.30%,9.9
Goran Dragic,BKN,16,3.1,30.60%,0.65,2,0.8,2.9,26.10%,34.80%,0.00%,6.10%,0.00%,0.00%,24.50%,7.8
JaVale McGee,PHX,74,0.4,4.90%,1.03,0.4,0.2,0.4,48.30%,51.70%,6.70%,3.30%,6.70%,6.70%,46.70%,62.2
Goga Bitadze,IND,50,1,14.50%,0.63,0.6,0.2,1,22.90%,32.30%,0.00%,2.00%,0.00%,0.00%,22.40%,6.6
Trent Forrest,UTA,60,0.8,22.30%,0.62,0.5,0.2,0.6,30.60%,37.50%,6.00%,22.00%,6.00%,0.00%,28.00%,5.8
T.J. McConnell,IND,27,1.3,13.80%,0.88,1.1,0.4,1.2,36.40%,45.50%,2.90%,2.90%,2.90%,2.90%,35.30%,28.9
Danuel House Jr.,HOU,16,2.4,38.60%,0.77,1.9,0.7,2,34.40%,42.20%,7.70%,12.80%,7.70%,2.60%,33.30%,15.9
Xavier Tillman,MEM,53,0.8,15.70%,0.68,0.6,0.2,0.7,26.30%,34.20%,11.40%,6.80%,11.40%,4.50%,27.30%,8.9
Marcus Garrett,MIA,12,0.9,44.00%,0.27,0.3,0.1,0.9,9.10%,13.60%,0.00%,0.00%,0.00%,0.00%,9.10%,0.2
Keon Johnson,POR,22,1.8,14.30%,0.74,1.3,0.4,1.5,27.30%,36.40%,5.10%,10.30%,5.10%,0.00%,28.20%,14
Lindell Wigginton,MIL,19,1.5,31.80%,1,1.5,0.5,1.2,43.50%,56.50%,10.70%,10.70%,10.70%,3.60%,42.90%,53.7
Haywood Highsmith,MIA,9,1.7,57.70%,1,1.7,0.6,1.6,35.70%,53.60%,0.00%,6.70%,0.00%,0.00%,33.30%,54.8
David Duke Jr.,BKN,22,1.8,30.70%,0.72,1.3,0.4,1.6,25.00%,34.70%,5.10%,2.60%,5.10%,0.00%,28.20%,11.5
Collin Sexton,CLE,11,3.5,19.90%,0.72,2.5,0.9,3.1,29.40%,38.20%,5.10%,10.30%,2.60%,2.60%,28.20%,11.5
Victor Oladipo,MIA,8,2.6,21.60%,1.29,3.4,1.1,2.4,47.40%,65.80%,9.50%,4.80%,9.50%,4.80%,47.60%,96.1
Tomas Satoransky,WAS,22,1.1,21.20%,1.08,1.2,0.4,1,40.90%,52.30%,8.00%,4.00%,4.00%,0.00%,44.00%,70
Drew Eubanks,POR,22,1.2,9.60%,1.04,1.2,0.5,1,43.50%,47.80%,11.50%,0.00%,11.50%,0.00%,50.00%,63.3
Malcolm Hill,CHI,16,1.8,54.90%,0.96,1.7,0.6,1.6,36.00%,48.00%,7.10%,7.10%,7.10%,3.60%,35.70%,45.2
Dewayne Dedmon,MIA,67,0.4,7.10%,0.93,0.4,0.1,0.4,34.60%,46.20%,6.90%,3.40%,3.40%,0.00%,37.90%,36.7
Jarrett Allen,CLE,56,0.5,3.90%,0.93,0.5,0.2,0.4,45.80%,47.90%,13.80%,13.80%,13.80%,10.30%,41.40%,36.7
Paul Millsap,BKN,24,1.3,28.80%,0.9,1.1,0.4,1.1,34.60%,44.20%,13.30%,3.30%,13.30%,3.30%,40.00%,31.7
Mychal Mulder,ORL,15,2.1,42.10%,0.84,1.8,0.6,2.1,29.00%,43.50%,0.00%,3.10%,0.00%,0.00%,28.10%,23.6
Dennis Smith Jr.,POR,37,1.2,16.30%,0.63,0.7,0.3,1,32.40%,36.50%,0.00%,14.00%,0.00%,0.00%,27.90%,6
Zach Collins,SAS,28,1,12.60%,0.9,0.9,0.4,0.9,41.70%,54.20%,0.00%,17.20%,0.00%,0.00%,34.50%,30.8
Alfonzo McKinnie,CHI,17,2.1,48.60%,0.74,1.5,0.6,1.8,33.30%,41.70%,2.90%,11.40%,0.00%,0.00%,31.40%,13.6
Hassani Gravett,ORL,8,2,33.30%,1.56,3.1,1.1,2,56.30%,78.10%,0.00%,0.00%,0.00%,0.00%,56.30%,99.8
Georgios Kalaitzakis,OKC,4,6.3,31.30%,0.96,6,2,4.5,44.40%,58.30%,16.00%,16.00%,16.00%,4.00%,40.00%,43.6
Chris Chiozza,GSW,34,1.1,31.90%,0.67,0.7,0.2,0.8,29.60%,44.40%,0.00%,25.00%,0.00%,0.00%,22.20%,8
Thanasis Antetokounmpo,MIL,35,0.3,9.40%,0.46,0.1,0.1,0.3,22.20%,27.80%,0.00%,18.20%,0.00%,0.00%,18.20%,2
Santi Aldama,MEM,32,1.3,27.20%,0.56,0.8,0.3,1.2,23.70%,28.90%,11.60%,7.00%,11.60%,7.00%,23.30%,4.5
Michael Porter Jr.,DEN,9,2.9,22.00%,0.89,2.6,1,2.8,36.00%,46.00%,0.00%,3.80%,0.00%,0.00%,34.60%,29.5
Charlie Brown Jr.,PHI,15,0.7,27.50%,0.36,0.3,0.1,0.6,11.10%,11.10%,9.10%,9.10%,9.10%,0.00%,18.20%,1.3
Wenyen Gabriel,LAL,19,1.5,22.80%,0.79,1.2,0.4,1.4,30.80%,40.40%,6.90%,6.90%,6.90%,3.40%,31.00%,18.4
Thomas Bryant,WAS,27,1.1,16.80%,0.74,0.9,0.3,1.1,30.00%,38.30%,0.00%,3.20%,0.00%,0.00%,29.00%,13.4
Nickeil Alexander-Walker,UTA,14,1.6,36.70%,1,1.6,0.4,1.3,33.30%,50.00%,9.10%,9.10%,9.10%,0.00%,36.40%,53.7
Semi Ojeleye,MIL,20,1.4,35.80%,0.76,1.1,0.4,1.4,29.60%,40.70%,0.00%,6.90%,0.00%,0.00%,27.60%,15.7
Elfrid Payton,PHX,51,1,20.80%,0.45,0.4,0.2,0.7,23.70%,27.60%,4.10%,20.40%,4.10%,2.00%,18.40%,1.6
Braxton Key,DET,9,2.9,31.00%,0.81,2.3,0.9,2.6,34.80%,41.30%,11.50%,7.70%,7.70%,7.70%,34.60%,19.8
Jaylen Hoard,OKC,7,4.4,29.20%,0.68,3,1.1,4.1,27.60%,34.50%,3.20%,3.20%,3.20%,0.00%,29.00%,8.7
Tomas Satoransky,NOP,32,1.2,27.10%,0.55,0.7,0.2,1,22.60%,29.00%,5.30%,13.20%,5.30%,0.00%,23.70%,4.1
Alex Len,SAC,39,0.4,6.90%,1.18,0.5,0.2,0.4,46.70%,60.00%,5.90%,5.90%,5.90%,0.00%,47.10%,87.4
Cam Reddish,NYK,15,2.2,35.50%,0.61,1.3,0.5,1.9,28.60%,32.10%,3.00%,12.10%,3.00%,0.00%,27.30%,5.4
Dwight Howard,LAL,60,0.3,4.80%,1.19,0.3,0.1,0.3,46.70%,63.30%,0.00%,6.30%,0.00%,0.00%,43.80%,89.9
Jakob Poeltl,SAS,68,0.3,2.30%,0.95,0.3,0.1,0.2,61.50%,61.50%,15.00%,20.00%,15.00%,0.00%,55.00%,40.4
Daniel Theis,BOS,21,1,15.00%,0.91,0.9,0.3,1,35.00%,47.50%,0.00%,4.80%,0.00%,0.00%,33.30%,32.8
Elijah Hughes,POR,22,1.9,35.90%,0.45,0.9,0.3,1.8,17.50%,22.50%,2.40%,4.80%,2.40%,2.40%,16.70%,1.7
Devin Cannady,ORL,5,3.4,32.70%,1.06,3.6,1.2,3.2,37.50%,56.30%,0.00%,5.90%,0.00%,0.00%,35.30%,65.9
Cassius Stanley,DET,9,2.6,41.10%,0.78,2,0.8,2.4,31.80%,38.60%,4.30%,4.30%,4.30%,4.30%,30.40%,17.3
Justin Robinson,MIL,17,1.4,35.30%,0.75,1.1,0.4,1.3,27.30%,40.90%,0.00%,8.30%,0.00%,0.00%,25.00%,15
Jamorko Pickett,DET,13,2,46.40%,0.69,1.4,0.5,1.9,24.00%,36.00%,0.00%,3.80%,0.00%,0.00%,23.10%,9.1
Paul Watson,OKC,9,2.9,65.00%,0.69,2,0.8,2.6,30.40%,39.10%,0.00%,11.50%,0.00%,0.00%,26.90%,9.1
Norman Powell,LAC,5,2.2,12.80%,1.55,3.4,1.2,2.2,54.50%,72.70%,9.10%,0.00%,9.10%,9.10%,54.50%,99.6
Marquese Chriss,DAL,34,0.5,10.20%,1,0.5,0.2,0.4,40.00%,50.00%,17.60%,0.00%,17.60%,5.90%,41.20%,53.7
Isaiah Jackson,IND,36,0.6,7.70%,0.77,0.5,0.1,0.5,26.30%,39.50%,4.50%,9.10%,4.50%,0.00%,27.30%,16.1
Domantas Sabonis,SAC,15,1.8,9.50%,0.63,1.1,0.5,1.4,33.30%,33.30%,7.40%,14.80%,7.40%,0.00%,33.30%,6.4
Kevon Looney,GSW,82,0.4,6.90%,0.5,0.2,0.1,0.4,25.80%,25.80%,2.90%,5.90%,2.90%,0.00%,26.50%,2.3
Isaiah Thomas,LAL,4,4,32.70%,1,4,1.3,3.5,35.70%,50.00%,6.30%,6.30%,6.30%,0.00%,37.50%,53.7
Brad Wanamaker,IND,22,0.8,16.50%,0.94,0.7,0.3,0.7,37.50%,50.00%,0.00%,5.90%,0.00%,0.00%,35.30%,38.1
Deandre Ayton,PHX,58,0.3,2.00%,0.94,0.3,0.1,0.3,41.20%,47.10%,0.00%,0.00%,0.00%,0.00%,41.20%,38.1
Markelle Fultz,ORL,18,1,7.90%,0.89,0.9,0.3,0.9,35.30%,38.20%,11.10%,0.00%,11.10%,5.60%,38.90%,29.8
Jarred Vanderbilt,MIN,74,0.4,5.60%,0.59,0.2,0.1,0.3,33.30%,38.10%,0.00%,22.20%,0.00%,0.00%,25.90%,5
Jalen Smith,PHX,29,1.1,17.00%,0.52,0.6,0.2,1,20.70%,25.90%,3.20%,3.20%,3.20%,0.00%,22.60%,3.1
Vlatko Cancar,DEN,15,0.9,22.80%,1.15,1,0.3,0.6,55.60%,83.30%,0.00%,30.80%,0.00%,0.00%,38.50%,84.8
Olivier Sarr,OKC,22,0.6,9.60%,1.15,0.7,0.2,0.6,38.50%,57.70%,0.00%,0.00%,0.00%,0.00%,38.50%,84.8
Steven Adams,MEM,76,0.2,2.70%,0.94,0.2,0.1,0.2,38.50%,38.50%,25.00%,0.00%,25.00%,6.30%,50.00%,37.6
Daishen Nix,HOU,24,0.9,19.80%,0.71,0.6,0.2,0.7,31.30%,40.60%,14.30%,9.50%,14.30%,0.00%,28.60%,11.2
Melvin Frazier Jr.,OKC,3,7.7,43.40%,0.65,5,2,7,28.60%,31.00%,4.30%,4.30%,4.30%,0.00%,30.40%,7.6
Richaun Holmes,SAC,45,0.2,2.80%,1.27,0.3,0.1,0.2,60.00%,70.00%,9.10%,9.10%,9.10%,9.10%,54.50%,95.7
Abdel Nader,PHX,14,1.1,29.40%,0.93,1,0.4,0.7,50.00%,70.00%,0.00%,33.30%,0.00%,0.00%,33.30%,37
Andre Drummond,PHI,49,0.3,4.80%,0.82,0.3,0.1,0.3,35.70%,35.70%,35.30%,0.00%,35.30%,17.60%,47.10%,21
Rajon Rondo,LAL,18,1.2,19.80%,0.67,0.8,0.3,1.1,25.00%,35.00%,0.00%,4.80%,0.00%,0.00%,23.80%,8
Derrick Favors,OKC,39,0.8,14.80%,0.47,0.4,0.2,0.7,20.70%,24.10%,0.00%,3.30%,0.00%,0.00%,20.00%,2.1
Brandon Knight,DAL,5,2.2,33.30%,1.18,2.6,1,2.2,45.50%,59.10%,0.00%,0.00%,0.00%,0.00%,45.50%,88.9
Wes Iwundu,ATL,3,3.7,52.40%,1.18,4.3,1.3,3,44.40%,61.10%,9.10%,9.10%,9.10%,0.00%,45.50%,88.9
Chaundee Brown Jr.,ATL,3,5,53.60%,0.87,4.3,1.3,4.7,28.60%,39.30%,6.70%,0.00%,6.70%,0.00%,33.30%,26.4
Louis King,SAC,10,1.5,29.40%,0.87,1.3,0.5,1.5,33.30%,43.30%,6.70%,0.00%,6.70%,6.70%,33.30%,26.4
Luka Garza,DET,32,0.7,11.60%,0.59,0.4,0.1,0.7,19.00%,26.20%,4.50%,0.00%,4.50%,0.00%,22.70%,4.8
Robin Lopez,ORL,37,0.4,5.20%,0.86,0.3,0.1,0.2,62.50%,75.00%,0.00%,42.90%,0.00%,0.00%,35.70%,25
Montrezl Harrell,WAS,46,0.3,2.70%,0.86,0.3,0.1,0.2,33.30%,44.40%,28.60%,7.10%,21.40%,0.00%,42.90%,25
Josh Jackson,SAC,12,1.5,26.90%,0.67,1,0.3,1.2,28.60%,39.30%,11.10%,16.70%,11.10%,5.60%,22.20%,8
Armoni Brooks,TOR,13,1.1,32.60%,0.79,0.8,0.3,1,30.80%,42.30%,0.00%,7.10%,0.00%,0.00%,28.60%,17.8
Didi Louzada,POR,7,2.1,41.70%,0.73,1.6,0.6,2,28.60%,39.30%,0.00%,6.70%,0.00%,0.00%,26.70%,12.6
Tim Frazier,ORL,10,1.7,28.30%,0.65,1.1,0.4,1.7,23.50%,32.40%,0.00%,0.00%,0.00%,0.00%,23.50%,7.4
Tyrone Wallace,NOP,6,1.8,44.00%,0.91,1.7,0.7,1.7,40.00%,50.00%,9.10%,9.10%,9.10%,9.10%,36.40%,33.7
Hassan Whiteside,UTA,65,0.2,2.60%,0.83,0.2,0.1,0.1,44.40%,44.40%,8.30%,16.70%,8.30%,0.00%,41.70%,22
Derrick Walton Jr.,DET,3,3.3,25.60%,0.9,3,1,3,33.30%,50.00%,0.00%,10.00%,0.00%,0.00%,30.00%,31.7
Drew Eubanks,SAS,50,0.2,4.10%,0.9,0.2,0.1,0.2,40.00%,45.00%,0.00%,0.00%,0.00%,0.00%,40.00%,31.7
Zavier Simpson,OKC,4,2.8,17.20%,0.82,2.3,1,2.5,40.00%,45.00%,0.00%,9.10%,0.00%,0.00%,36.40%,20.5
Omer Yurtseven,MIA,56,0.2,3.80%,0.75,0.2,0.1,0.2,27.30%,31.80%,8.30%,0.00%,8.30%,0.00%,33.30%,15
Xavier Moon,LAC,10,1.4,24.10%,0.64,0.9,0.3,1.4,21.40%,32.10%,0.00%,0.00%,0.00%,0.00%,21.40%,6.8
Javonte Smart,MIL,13,1.3,30.90%,0.53,0.7,0.2,1.2,18.80%,28.10%,0.00%,5.90%,0.00%,0.00%,17.60%,3.3
Kris Dunn,POR,14,1.2,12.00%,0.53,0.6,0.3,1.1,26.70%,30.00%,0.00%,11.80%,0.00%,0.00%,23.50%,3.3
Aleem Ford,ORL,5,3,62.50%,0.53,1.6,0.6,2.8,21.40%,28.60%,0.00%,6.70%,0.00%,0.00%,20.00%,3.7
Khem Birch,TOR,55,0.4,8.50%,0.36,0.1,0,0.3,11.10%,11.10%,9.10%,9.10%,9.10%,0.00%,18.20%,1
Cody Zeller,POR,27,0.4,9.20%,0.58,0.3,0.1,0.3,22.20%,22.20%,25.00%,0.00%,25.00%,0.00%,41.70%,4.7
Reggie Perry,POR,9,1.9,18.10%,0.41,0.8,0.3,1.7,20.00%,23.30%,0.00%,11.80%,0.00%,0.00%,17.60%,1.2
Solomon Hill,ATL,13,0.8,45.50%,0.6,0.5,0.2,0.8,20.00%,30.00%,0.00%,0.00%,0.00%,0.00%,20.00%,5.2
Justin Robinson,DET,5,2.4,33.30%,0.5,1.2,0.4,2.4,16.70%,25.00%,0.00%,0.00%,0.00%,0.00%,16.70%,2.3
Paul Millsap,PHI,9,1.4,31.70%,0.46,0.7,0.2,1.2,18.20%,22.70%,7.70%,7.70%,7.70%,0.00%,23.10%,1.9
Goran Dragic,TOR,5,2,25.00%,0.3,0.6,0.2,2,10.00%,15.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.4