,margin,pLength,clock
0,2,20,20
1,2,14,34
2,,1.0,35.0
3,2,21,56
4,2,21,77
5,2,13,90
6,-1,9,99
7,-1,20,119
8,-3,8,127
9,-3,10,137
10,-3,15,152
11,-3,8,160
12,-1,5,165
13,,12.0,177.0
14,2,12,189
15,2,21,210
16,2,4,214
17,,8.0,222.0
18,1,3,225
19,TIE,0,225
20,TIE,15,240
21,-2,9,249
22,1,11,260
23,,34.0,294.0
24,3,19,313
25,1,16,329
26,1,17,346
27,-1,7,353
28,-1,11,364
29,,24.0,388.0
30,-1,20,408
31,1,3,411
32,1,15,426
33,1,13,439
34,4,11,450
35,2,26,476
36,5,11,487
37,2,24,511
38,4,16,527
39,4,7,534
40,4,12,546
41,4,9,555
42,4,8,563
43,4,13,576
44,6,9,585
45,6,19,604
46,9,20,624
47,7,10,634
48,7,9,643
49,9,10,653
50,7,10,663
51,7,12,675
52,7,12,687
53,7,6,693
54,5,8,701
55,,13.0,714.0
56,3,4,718
57,3,2,720
58,,12.0,732.0
59,3,14,746
60,1,13,759
61,3,12,771
62,4,0,771
63,1,9,780
64,1,17,797
65,2,0,797
66,2,6,803
67,2,14,817
68,3,0,817
69,,8.0,825.0
70,5,17,842
71,5,21,863
72,5,9,872
73,5,9,881
74,2,13,894
75,2,16,910
76,3,0,910
77,1,11,921
78,3,20,941
79,3,18,959
80,3,10,969
81,3,7,976
82,,8.0,984.0
83,1,14,998
84,,10.0,1008.0
85,1,15,1023
86,-1,3,1026
87,TIE,7,1033
88,1,0,1033
89,-1,16,1049
90,1,16,1065
91,-1,17,1082
92,-1,12,1094
93,-1,9,1103
94,2,15,1118
95,TIE,16,1134
96,2,16,1150
97,TIE,15,1165
98,3,20,1185
99,3,15,1200
100,,9.0,1209.0
101,1,21,1230
102,3,7,1237
103,1,16,1253
104,1,9,1262
105,1,11,1273
106,1,21,1294
107,-1,10,1304
108,-1,24,1328
109,-4,20,1348
110,-2,23,1371
111,-4,22,1393
112,-4,0,1393
113,-1,19,1412
114,-2,20,1432
115,-2,0,1432
116,-2,8,1440
117,-2,17,1457
118,1,15,1472
119,1,17,1489
120,1,1,1490
121,1,16,1506
122,1,15,1521
123,-1,0,1521
124,-2,0,1521
125,TIE,10,1531
126,TIE,17,1548
127,TIE,0,1548
128,2,24,1572
129,TIE,15,1587
130,2,14,1601
131,TIE,15,1616
132,TIE,12,1628
133,-2,12,1640
134,1,20,1660
135,-1,22,1682
136,1,18,1700
137,-1,18,1718
138,-1,9,1727
139,2,10,1737
140,TIE,15,1752
141,2,16,1768
142,TIE,17,1785
143,,20.0,1805.0
144,-2,22,1827
145,,16.0,1843.0
146,-4,17,1860
147,-4,17,1877
148,-1,4,1881
149,-1,19,1900
150,2,8,1908
151,-1,19,1927
152,-1,0,1927
153,-1,0,1927
154,-3,7,1934
155,-3,22,1956
156,-3,8,1964
157,-3,9,1973
158,-4,0,1973
159,-2,21,1994
160,-4,18,2012
161,-2,15,2027
162,-1,0,2027
163,-3,10,2037
164,-3,9,2046
165,-3,17,2063
166,-1,10,2073
167,-1,19,2092
168,,12.0,2104.0
169,-3,2,2106
170,-1,20,2126
171,-3,9,2135
172,-3,22,2157
173,-3,3,2160
174,-1,17,2177
175,-3,18,2195
176,-3,14,2209
177,,4.0,2213.0
178,TIE,9,2222
179,TIE,16,2238
180,TIE,11,2249
181,TIE,16,2265
182,TIE,5,2270
183,,0.0,2270.0
184,-2,13,2283
185,-2,13,2296
186,-2,6,2302
187,-2,11,2313
188,,10.0,2323.0
189,-2,11,2334
190,-2,24,2358
191,-2,12,2370
192,-2,6,2376
193,-2,3,2379
194,TIE,16,2395
195,-2,19,2414
196,,4.0,2418.0
197,-5,19,2437
198,-5,14,2451
199,-5,6,2457
200,,16.0,2473.0
201,-2,5,2478
202,-2,15,2493
203,-4,1,2494
204,-4,0,2494
205,-7,14,2508
206,-4,21,2529
207,,8.0,2537.0
208,-2,9,2546
209,-1,0,2546
210,-1,5,2551
211,-1,4,2555
212,-1,18,2573
213,-1,0,2573
214,-1,14,2587
215,-1,17,2604
216,-1,11,2615
217,-1,18,2633
218,TIE,0,2633
219,1,0,2633
220,-1,17,2650
221,-1,0,2650
222,TIE,3,2653
223,TIE,0,2653
224,TIE,11,2664
225,2,7,2671
226,-1,17,2688
227,-1,29,2717
228,-1,6,2723
229,-1,20,2743
230,-4,5,2748
231,-4,13,2761
232,-7,19,2780
233,-6,9,2789
234,-5,0,2789
235,-5,22,2811
236,-5,13,2824
237,-5,20,2844
238,,9.0,2853.0
239,-5,2,2855
240,-6,0,2855
241,-6,4,2859
242,-7,3,2862
243,-8,0,2862
244,-8,4,2866
245,,-2859.0,7.0
246,-8,19,26
247,3,10,36
248,,20.0,56.0
249,3,23,79
250,3,12,91
251,,15.0,106.0
252,1,20,126
253,,17.0,143.0
254,1,5,148
255,1,6,154
256,1,14,168
257,,1.0,169.0
258,3,9,178
259,3,10,188
260,2,0,188
261,4,9,197
262,,14.0,211.0
263,4,4,215
264,5,0,215
265,,15.0,230.0
266,7,19,249
267,7,15,264
268,7,8,272
269,5,20,292
270,7,23,315
271,7,16,331
272,9,16,347
273,8,16,363
274,7,0,363
275,7,11,374
276,9,6,380
277,6,14,394
278,8,11,405
279,6,20,425
280,8,8,433
281,5,12,445
282,7,12,457
283,7,16,473
284,7,9,482
285,9,6,488
286,9,10,498
287,11,9,507
288,8,15,522
289,,20.0,542.0
290,6,19,561
291,6,11,572
292,6,11,583
293,6,11,594
294,4,11,605
295,3,0,605
296,3,9,614
297,2,13,627
298,2,0,627
299,4,29,656
300,4,15,671
301,6,13,684
302,6,10,694
303,,17.0,711.0
304,3,6,717
305,3,0,717
306,1,3,720
307,1,13,733
308,3,18,751
309,1,12,763
310,1,27,790
311,-1,5,795
312,,15.0,810.0
313,,5.0,815.0
314,-1,12,827
315,TIE,0,827
316,-2,26,853
317,-2,8,861
318,-2,6,867
319,1,11,878
320,1,13,891
321,1,6,897
322,-1,12,909
323,1,14,923
324,1,13,936
325,4,13,949
326,2,24,973
327,5,13,986
328,5,28,1014
329,5,6,1020
330,7,5,1025
331,4,21,1046
332,6,18,1064
333,6,13,1077
334,6,14,1091
335,6,16,1107
336,4,5,1112
337,4,11,1123
338,5,0,1123
339,6,0,1123
340,6,12,1135
341,6,24,1159
342,6,23,1182
343,8,12,1194
344,8,12,1206
345,,15.0,1221.0
346,8,6,1227
347,6,4,1231
348,8,12,1243
349,8,19,1262
350,8,15,1277
351,6,7,1284
352,8,17,1301
353,8,0,1301
354,8,18,1319
355,,3.0,1322.0
356,11,7,1329
357,11,17,1346
358,11,13,1359
359,,8.0,1367.0
360,,14.0,1381.0
361,9,15,1396
362,9,12,1408
363,10,0,1408
364,8,11,1419
365,8,19,1438
366,8,2,1440
367,6,21,1461
368,5,0,1461
369,7,16,1477
370,7,19,1496
371,9,18,1514
372,9,16,1530
373,,16.0,1546.0
374,,4.0,1550.0
375,9,5,1555
376,9,14,1569
377,6,11,1580
378,6,18,1598
379,4,6,1604
380,4,16,1620
381,,14.0,1634.0
382,4,4,1638
383,4,3,1641
384,4,10,1651
385,4,17,1668
386,4,19,1687
387,4,7,1694
388,4,10,1704
389,6,16,1720
390,4,26,1746
391,4,0,1746
392,4,13,1759
393,1,8,1767
394,3,18,1785
395,TIE,5,1790
396,TIE,25,1815
397,TIE,9,1824
398,TIE,23,1847
399,TIE,8,1855
400,,3.0,1858.0
401,3,12,1870
402,3,31,1901
403,3,11,1912
404,2,7,1919
405,1,0,1919
406,,8.0,1927.0
407,1,16,1943
408,1,5,1948
409,1,18,1966
410,1,15,1981
411,1,7,1988
412,-2,8,1996
413,-2,23,2019
414,-2,6,2025
415,TIE,17,2042
416,TIE,26,2068
417,,7.0,2075.0
418,-2,12,2087
419,TIE,14,2101
420,-3,16,2117
421,TIE,8,2125
422,,16.0,2141.0
423,TIE,17,2158
424,TIE,16,2174
425,-2,21,2195
426,-2,0,2195
427,-2,15,2210
428,-4,5,2215
429,-1,15,2230
430,-1,29,2259
431,-3,3,2262
432,-3,8,2270
433,-3,0,2270
434,-6,13,2283
435,-6,14,2297
436,-7,5,2302
437,-8,0,2302
438,-8,15,2317
439,-10,12,2329
440,-8,19,2348
441,-8,18,2366
442,-8,11,2377
443,-8,6,2383
444,-10,10,2393
445,-10,0,2393
446,-10,4,2397
447,-10,2,2399
448,-9,0,2399
449,-11,12,2411
450,-10,14,2425
451,-9,0,2425
452,-11,13,2438
453,-11,13,2451
454,-11,8,2459
455,-11,21,2480
456,,10.0,2490.0
457,,16.0,2506.0
458,-9,14,2520
459,-11,21,2541
460,-10,11,2552
461,-9,0,2552
462,-9,23,2575
463,-9,15,2590
464,-9,7,2597
465,-11,4,2601
466,-11,14,2615
467,-9,6,2621
468,,15.0,2636.0
469,-9,6,2642
470,-12,8,2650
471,-9,15,2665
472,-9,25,2690
473,-6,10,2700
474,-6,26,2726
475,,1.0,2727.0
476,-5,7,2734
477,-4,0,2734
478,-4,24,2758
479,-4,4,2762
480,-4,8,2770
481,-4,6,2776
482,-6,7,2783
483,-6,13,2796
484,-8,6,2802
485,-8,8,2810
486,-8,12,2822
487,-9,0,2822
488,-9,9,2831
489,-10,2,2833
490,-11,0,2833
491,-9,7,2840
492,-10,5,2845
493,-11,0,2845
494,-9,7,2852
495,,24.0,2876.0
496,-2,-2861,15
497,-2,23,38
498,-2,5,43
499,-4,17,60
500,-2,21,81
501,-2,19,100
502,-2,13,113
503,-2,12,125
504,-3,4,129
505,-4,0,129
506,-2,22,151
507,-5,13,164
508,-3,8,172
509,-5,15,187
510,-5,16,203
511,,11.0,214.0
512,,3.0,217.0
513,-8,5,222
514,-6,14,236
515,-6,29,265
516,,0.0,265.0
517,,13.0,278.0
518,-8,5,283
519,-8,11,294
520,-8,7,301
521,-10,2,303
522,-10,16,319
523,-8,1,320
524,-8,15,335
525,-6,10,345
526,-6,24,369
527,-4,4,373
528,-4,17,390
529,-2,8,398
530,-4,21,419
531,-2,11,430
532,,23.0,453.0
533,-1,11,464
534,TIE,0,464
535,,13.0,477.0
536,2,5,482
537,2,20,502
538,2,27,529
539,2,16,545
540,,3.0,548.0
541,2,13,561
542,TIE,4,565
543,TIE,15,580
544,TIE,7,587
545,TIE,17,604
546,TIE,11,615
547,TIE,10,625
548,,8.0,633.0
549,,15.0,648.0
550,2,13,661
551,TIE,9,670
552,2,14,684
553,3,0,684
554,,11.0,695.0
555,6,21,716
556,6,4,720
557,9,17,737
558,7,24,761
559,7,20,781
560,6,7,788
561,5,0,788
562,8,14,802
563,8,18,820
564,7,1,821
565,6,0,821
566,6,13,834
567,6,0,834
568,8,8,842
569,8,25,867
570,11,10,877
571,9,12,889
572,10,17,906
573,10,0,906
574,10,23,929
575,12,9,938
576,12,19,957
577,12,8,965
578,10,5,970
579,11,19,989
580,11,0,989
581,12,13,1002
582,12,0,1002
583,,6.0,1008.0
584,,18.0,1026.0
585,12,11,1037
586,12,7,1044
587,10,2,1046
588,12,6,1052
589,11,13,1065
590,9,12,1077
591,9,15,1092
592,8,8,1100
593,7,0,1100
594,8,15,1115
595,9,0,1115
596,,13.0,1128.0
597,,11.0,1139.0
598,9,23,1162
599,9,2,1164
600,10,0,1164
601,11,0,1164
602,,13.0,1177.0
603,11,11,1188
604,11,3,1191
605,,7.0,1198.0
606,13,17,1215
607,11,12,1227
608,,6.0,1233.0
609,11,19,1252
610,11,7,1259
611,11,8,1267
612,10,0,1267
613,,10.0,1277.0
614,10,14,1291
615,12,11,1302
616,,15.0,1317.0
617,13,0,1317
618,14,0,1317
619,14,16,1333
620,15,1,1334
621,15,0,1334
622,15,20,1354
623,17,18,1372
624,15,11,1383
625,,6.0,1389.0
626,14,0,1389
627,13,0,1389
628,14,17,1406
629,15,0,1406
630,13,11,1417
631,13,20,1437
632,15,23,1460
633,15,16,1476
634,15,10,1486
635,13,7,1493
636,13,26,1519
637,13,14,1533
638,15,4,1537
639,12,18,1555
640,14,18,1573
641,14,30,1603
642,14,9,1612
643,16,3,1615
644,16,18,1633
645,,10.0,1643.0
646,16,10,1653
647,,4.0,1657.0
648,13,5,1662
649,15,19,1681
650,15,17,1698
651,15,14,1712
652,14,11,1723
653,14,0,1723
654,14,16,1739
655,14,0,1739
656,14,19,1758
657,16,18,1776
658,16,16,1792
659,17,6,1798
660,18,0,1798
661,18,16,1814
662,20,15,1829
663,,18.0,1847.0
664,,2.0,1849.0
665,20,16,1865
666,,9.0,1874.0
667,,19.0,1893.0
668,20,6,1899
669,18,9,1908
670,20,9,1917
671,18,23,1940
672,,5.0,1945.0
673,18,12,1957
674,18,13,1970
675,18,5,1975
676,,11.0,1986.0
677,19,14,2000
678,20,0,2000
679,20,10,2010
680,19,0,2010
681,19,10,2020
682,17,6,2026
683,20,18,2044
684,19,11,2055
685,18,0,2055
686,20,25,2080
687,20,15,2095
688,20,5,2100
689,19,12,2112
690,18,0,2112
691,20,9,2121
692,20,0,2121
693,19,1,2122
694,18,0,2122
695,18,14,2136
696,18,22,2158
697,18,2,2160
698,16,11,2171
699,,13.0,2184.0
700,,12.0,2196.0
701,19,10,2206
702,,18.0,2224.0
703,21,13,2237
704,19,15,2252
705,18,0,2252
706,18,15,2267
707,18,6,2273
708,18,6,2279
709,18,6,2285
710,,2.0,2287.0
711,16,7,2294
712,18,21,2315
713,18,18,2333
714,18,7,2340
715,,12.0,2352.0
716,18,6,2358
717,17,14,2372
718,16,0,2372
719,16,19,2391
720,19,8,2399
721,17,16,2415
722,19,20,2435
723,16,20,2455
724,16,10,2465
725,,9.0,2474.0
726,16,13,2487
727,16,9,2496
728,16,7,2503
729,17,0,2503
730,19,7,2510
731,17,14,2524
732,20,12,2536
733,17,13,2549
734,17,10,2559
735,19,12,2571
736,,10.0,2581.0
737,21,16,2597
738,19,18,2615
739,19,12,2627
740,18,8,2635
741,17,0,2635
742,17,12,2647
743,,9.0,2656.0
744,,4.0,2660.0
745,15,16,2676
746,,14.0,2690.0
747,13,2,2692
748,12,0,2692
749,15,22,2714
750,15,21,2735
751,18,20,2755
752,16,18,2773
753,18,20,2793
754,,13.0,2806.0
755,,19.0,2825.0
756,15,9,2834
757,15,13,2847
758,16,0,2847
759,14,9,2856
760,16,24,2880
